Unnamed: 0	id	title	author	department	year	pages	FORREVIEW	tokenized_title
10	11	The structure of incentives for manufactured exports in Thailand, 1972-1977.	Waraporn Kanchanatip 	Faculty_of_Economics	2523	137	0	['The', ' ', 'structure', ' ', 'of', ' ', 'incentives', ' ', 'for', ' ', 'manufactured', ' ', 'exports', ' ', 'in', ' ', 'Thailand', ',', ' ', '1972', '-', '1977', '.']
11	12	A study of Thailand's terms of trade, 1973-1979.	Voravut Niansawang 	Faculty_of_Economic	2524	101	0	"['A', ' ', 'study', ' ', 'of', ' ', 'Thailand', ""'"", 's', ' ', 'terms', ' ', 'of', ' ', 'trade', ',', ' ', '1973', '-', '1979', '.']"
12	13	A study of industrial injury	Praneet Kultap 	Faculty_of_Economics	2526	142	0	['A', ' ', 'study', ' ', 'of', ' ', 'industrial', ' ', 'injury']
13	14	Power input utilization and substitution in Thai rice production.	Sakulrat Montreevat 	Faculty_of_Economics	2526	175	0	['Power', ' ', 'input', ' ', 'utilization', ' ', 'and', ' ', 'substitution', ' ', 'in', ' ', 'Thai', ' ', 'rice', ' ', 'production', '.']
14	15	Some empirical analyses on international airfare ;	Etsuka  Toru 	มหาวิทยาลัยธรรมศาสตร์	543	0	0	['Some', ' ', 'empirical', ' ', 'analyses', ' ', 'on', ' ', 'international', ' ', 'airfare', ' ', ';']
15	16	The organization of trucking firm.	Niramon Sutummakid 	Faculty_of_Econommics	2533	168	0	['The', ' ', 'organization', ' ', 'of', ' ', 'trucking', ' ', 'firm', '.']
16	17	Thailand and the United States generalized system of preferences (GSP).	Phongnarin Ratanarangsikul 	Faculty_of_Economic	2532	278	0	['Thailand', ' ', 'and', ' ', 'the', ' ', 'United', ' ', 'States', ' ', 'generalized', ' ', 'system', ' ', 'of', ' ', 'preferences', ' ', '(', 'GSP', ')', '.']
17	18	The incidence of shipping costs in ASEAN international trade.	Warut Siwasariyanon 	Faculty_of_Economics	2524	150	0	['The', ' ', 'incidence', ' ', 'of', ' ', 'shipping', ' ', 'costs', ' ', 'in', ' ', 'ASEAN', ' ', 'international', ' ', 'trade', '.']
18	19	Quantitative analysis of efficiency;	Thawatchai Chitkrua 	Faculty_of_Economics	2523	75	0	['Quantitative', ' ', 'analysis', ' ', 'of', ' ', 'efficiency', ';']
19	20	Demand for textile products in Thailand.	Sunthorn Thamruanglerd 	Faculty_of_Economics	2533	75	0	['Demand', ' ', 'for', ' ', 'textile', ' ', 'products', ' ', 'in', ' ', 'Thailand', '.']
20	21	Intra-industry trade in manufacturing industries in Thailand.	Pannee Suwantupinton 	Faculty_of_Economics	2530	125	0	['Intra', '-', 'industry', ' ', 'trade', ' ', 'in', ' ', 'manufacturing', ' ', 'industries', ' ', 'in', ' ', 'Thailand', '.']
21	22	Domestic resource cost.	Atchana Wattananukit 	มหาวิทยาลัยธรรมศาสตร์	2518	158	0	['Domestic', ' ', 'resource', ' ', 'cost', '.']
22	23	The redistributive impact of the tax burden on the income distribution to Thailand.	Apinya Tearprasert 	มหาวิทยาลัยธรรมศาสตร์	2518	0	0	['The', ' ', 'redistributive', ' ', 'impact', ' ', 'of', ' ', 'the', ' ', 'tax', ' ', 'burden', ' ', 'on', ' ', 'the', ' ', 'income', ' ', 'distribution', ' ', 'to', ' ', 'Thailand', '.']
23	24	Rural-urban migration and urban unemployment in the Philippines.	Morales  Erlinda L 	มหาวิทยาลัยธรรมศาสตร์	2521	136	0	['Rural', '-', 'urban', ' ', 'migration', ' ', 'and', ' ', 'urban', ' ', 'unemployment', ' ', 'in', ' ', 'the', ' ', 'Philippines', '.']
24	25	The influence of government expenditures on education on the income distribution in Thialand.	Watana Chirungsarpsook 	มหาวิทยาลัยธรรมศาสตร์	2519	59	0	['The', ' ', 'influence', ' ', 'of', ' ', 'government', ' ', 'expenditures', ' ', 'on', ' ', 'education', ' ', 'on', ' ', 'the', ' ', 'income', ' ', 'distribution', ' ', 'in', ' ', 'Thialand', '.']
25	26	The economics of rice threshing machines in Thailand 	Renu Pathnopas 	Facultry of Economics	2523	158	0	['The', ' ', 'economics', ' ', 'of', ' ', 'rice', ' ', 'threshing', ' ', 'machines', ' ', 'in', ' ', 'Thailand', ' ']
26	27	The role of research and extension in Thai rice production.	Patamawadee Pochanukul 	Faculty_of_Economics	2529	142	0	['The', ' ', 'role', ' ', 'of', ' ', 'research', ' ', 'and', ' ', 'extension', ' ', 'in', ' ', 'Thai', ' ', 'rice', ' ', 'production', '.']
27	28	A study of parboiled rice industry in Thailand.	Nuanchawee Sintuchao 	Faculty_of_Economics	2527	125	0	['A', ' ', 'study', ' ', 'of', ' ', 'parboiled', ' ', 'rice', ' ', 'industry', ' ', 'in', ' ', 'Thailand', '.']
28	29	Determinants of malnutrition among young children in urban slum 	Supaporn Asavachaichan 	Faculty_of_Economics	2527	116	0	['Determinants', ' ', 'of', ' ', 'malnutrition', ' ', 'among', ' ', 'young', ' ', 'children', ' ', 'in', ' ', 'urban', ' ', 'slum', ' ']
29	30	The cost-benefit analysis of nonformal education.	Somjin Plengkhum 	มหาวิทยาลัยธรรมศาสตร์	2520	140	0	['The', ' ', 'cost', '-', 'benefit', ' ', 'analysis', ' ', 'of', ' ', 'nonformal', ' ', 'education', '.']
30	31	การสงเคราะห์ผู้พ้นโทษในประเทศไทย	เบญจวัฒน์ ศิวะบวร 	คณะสังคมสงเคราะห์ศาสตร์ 	2527	148	0	['การ', 'สงเคราะห์', 'ผู้', 'พ้น', 'โทษ', 'ใน', 'ประเทศไทย']
31	32	The structural demand for gasoline in Thailand	Ratana Sivanunwong 	Faculty_of_Economics	2530	151	0	['The', ' ', 'structural', ' ', 'demand', ' ', 'for', ' ', 'gasoline', ' ', 'in', ' ', 'Thailand']
32	33	The impact of competition among exporters on Thai wholesale rubber market prices.	Woodcock  James Lindsay 	Faculty_of_Economics	2526	130	0	['The', ' ', 'impact', ' ', 'of', ' ', 'competition', ' ', 'among', ' ', 'exporters', ' ', 'on', ' ', 'Thai', ' ', 'wholesale', ' ', 'rubber', ' ', 'market', ' ', 'prices', '.']
33	34	Changes in international competitiveness	Pornsook Amonvadekul 	Faculty_of_Economics	2532	185	0	['Changes', ' ', 'in', ' ', 'international', ' ', 'competitiveness']
34	35	Determinants of private investment in Thailand.	Saelee  Sinhua 	Faculty_of_Economics	2533	111	0	['Determinants', ' ', 'of', ' ', 'private', ' ', 'investment', ' ', 'in', ' ', 'Thailand', '.']
35	36	Unanticipated inflation and real income of Thailand.	Yuthasak Kanasawat 	Faculty_of_Economics	2528	120	0	['Unanticipated', ' ', 'inflation', ' ', 'and', ' ', 'real', ' ', 'income', ' ', 'of', ' ', 'Thailand', '.']
36	37	Taxation and income distribution in Thailand	Pichit Likitkijsomboon 	Faculty_of_Economics	2528	140	0	['Taxation', ' ', 'and', ' ', 'income', ' ', 'distribution', ' ', 'in', ' ', 'Thailand']
37	38	The effects of changes in corporate income tax on investment;	Vijit Kunapongkul 	Faculty_of_Economics	2532	150	0	['The', ' ', 'effects', ' ', 'of', ' ', 'changes', ' ', 'in', ' ', 'corporate', ' ', 'income', ' ', 'tax', ' ', 'on', ' ', 'investment', ';']
38	39	The vehicle tax-rate restructuring	Wandee Laysiriroj 	Faculty_of_Economics	2532	137	0	['The', ' ', 'vehicle', ' ', 'tax', '-', 'rate', ' ', 'restructuring']
39	40	An analysis of external debt servicing capacity of Sri Lanka.	Siripala  Dewage 	Faculty_of_Economics	2526	141	0	['An', ' ', 'analysis', ' ', 'of', ' ', 'external', ' ', 'debt', ' ', 'servicing', ' ', 'capacity', ' ', 'of', ' ', 'Sri ', 'Lanka.']
40	41	Potential markets for Thai tapioca starch.	Sudsiri Wongsarivej 	Faculty_of_Economics	2526	140	0	['Potential', ' ', 'markets', ' ', 'for', ' ', 'Thai', ' ', 'tapioca', ' starch.']
41	42	An economic analysis of Thai peanut suppiy response.	Pornchai Tangkachaiyanun 	Faculty_of_Economics	2530	131	0	['An', ' ', 'economic', ' ', 'analysis', ' ', 'of', ' ', 'Thai', ' ', 'peanut', ' ', 'suppiy', ' ', 'response', '.']
42	43	An economic study of mineral taxation in Thailand.	Somsak Triamjangarun 	Faculty_of_Economics	2525	150	0	['An', ' ', 'economic', ' ', 'study', ' ', 'of', ' ', 'mineral', ' ', 'taxation', ' ', 'in', ' ', 'Thailand', '.']
43	44	On the relations between rates of return, risk, and market structure in finance company industry in Thailand.	Tawesak Padpadee 	Faculty_of_Economics	2527	98	0	['On', ' ', 'the', ' ', 'relations', ' ', 'between', ' ', 'rates', ' ', 'of', ' ', 'return', ',', ' ', 'risk', ',', ' ', 'and', ' ', 'market', ' ', 'structure', ' ', 'in', ' ', 'finance', ' ', 'company', ' ', 'industry', ' ', 'in', ' ', 'Thailand', '.']
44	45	Productivity growth and farm machinery adoption in Thai agriculture.	Nongluck Jongsuwat 	Faculty_of_Economics	2523	120	0	['Productivity', ' ', 'growth', ' ', 'and', ' ', 'farm', ' ', 'machinery', ' ', 'adoption', ' ', 'in', ' ', 'Thai', ' ', 'agriculture', '.']
45	46	The relative role of domestic and foreign impulses on inflation rates	Singhachai Boonyayotin 	Faculty_of_Economic	2528	112	0	['The', ' ', 'relative', ' ', 'role', ' ', 'of', ' ', 'domestic', ' ', 'and', ' ', 'foreign', ' ', 'impulses', ' ', 'on', ' ', 'inflation', ' ', 'rates']
46	47	Income and wealth effects on fertility	Supriya Suthamanuwat 	Faculty_of_Economics	2524	145	0	['Income', ' ', 'and', ' ', 'wealth', ' ', 'effects', ' ', 'on', ' ', 'fertility']
47	48	Factors affecting migration decision and role of information	Sauwalak Kittiprapas 	Faculty_of_Economics	2532	143	0	['Factors', ' ', 'affecting', ' ', 'migration', ' ', 'decision', ' ', 'and', ' ', 'role', ' ', 'of', ' ', 'information']
48	49	Industrial protection in Thailand	Somchai Ratanakomut 	มหาวิทยาลัยธรรมศาสตร์	2517	88	0	['Industrial', ' ', 'protection', ' ', 'in', ' ', 'Thailand']
49	50	Analysis of evidences on interal labour market	Ampai Harakunarak 	Faculty_of_Economics	2528	101	0	['Analysis', ' ', 'of', ' ', 'evidences', ' ', 'on', ' ', 'interal', ' ', 'labour', ' ', 'market']
50	51	Econometric model for energy demand	Arayah Preechametta 	Faculty_of_Economics	2527	84	0	['Econometric', ' ', 'model', ' ', 'for', ' ', 'energy', ' ', 'demand']
51	52	A study of relationship between export performance and market structureperformance in Korea.	Baek  Nakki 	Faculty_of_Economics	2528	90	0	['A', ' ', 'study', ' ', 'of', ' ', 'relationship', ' ', 'between', ' ', 'export', ' ', 'performance', ' ', 'and', ' ', 'market', ' ', 'structureperformance', ' ', 'in', ' ', 'Korea', '.']
52	53	A study of aggregate saving rate of five selected developing Asian countries, 1960-81.	Praveena Dethhithikool 	Faculty_of_Economics	2529	114	0	['A', ' ', 'study', ' ', 'of', ' ', 'aggregate', ' ', 'saving', ' ', 'rate', ' ', 'of', ' ', 'five', ' ', 'selected', ' ', 'developing', ' ', 'Asian', ' ', 'countries', ',', ' ', '1960', '-', '81', '.']
53	54	Relative economic efficiency in paddy productuon in the Nepal Terai.	Sharma  Bikash 	Faculty_of_Economics	2528	193	0	['Relative', ' ', 'economic', ' ', 'efficiency', ' ', 'in', ' ', 'paddy', ' ', 'productuon', ' ', 'in', ' ', 'the', ' ', 'Nepal', ' ', 'Terai', '.']
54	55	A quarterly econometric model for the Thai monetary sector.	Prasong Werakarnjanapongs 	Faculty_of_Economics	2528	129	0	['A', ' quarterly', ' ', 'econometric', ' ', 'model', ' ', 'for', ' ', 'the', ' ', 'Thai', ' ', 'monetary', ' ', 'sector', '.']
55	56	Comparative advantage and protection in automobile parts and components industry in Thailand.	Wuttipan Tawarangkoon 	Faculty_of_Economics	2527	156	0	['Comparative', ' ', 'advantage', ' ', 'and', ' ', 'protection', ' ', 'in', ' ', 'automobile', ' ', 'parts', ' ', 'and', ' ', 'components', ' ', 'industry', ' ', 'in', ' ', 'Thailand', '.']
56	57	A shortrun open macro-model of price inflation for Malaysia.	Bian  Lee Kim 	Faculty_of_Economics	2529	141	0	['A', ' ', 'shortrun', ' ', 'open', ' ', 'macro', '-', 'model', ' ', 'of', ' ', 'price', ' ', 'inflation', ' ', 'for', ' Malaysia', '.']
57	58	Demand for international reserves and exchange rate policy	Thumrong Chientachakul 	Faculty_of_Economics	2523	97	0	['Demand', ' ', 'for', ' ', 'international', ' ', 'reserves', ' ', 'and', ' ', 'exchange', ' ', 'rate', ' ', 'policy']
58	59	Pawning behaviour in Bangkok.	Porntip Sujariyapinun 	Faculty_of_Economics	2531	138	0	['Pawning', ' ', 'behaviour', ' ', 'in', ' ', 'Bangkok', '.']
59	60	Industrial incentives and protection 	Wickramasinghe  G  A  Upali 	Faculty_of_Economics	2530	164	0	['Industrial', ' ', 'incentives', ' ', 'and', ' ', 'protection', ' ']
60	61	The pharmaceutical industry in Thailand.	Kwanjai Rattanarojsakul 	Faculty_of_Economics	2529	201	0	['The', ' ', 'pharmaceutical', ' ', 'industry', ' ', 'in', ' ', 'Thailand', '.']
61	62	Export incentives and the development of manufactured exports in Thailand 	Vilai Visanuvimol 	Faculty_of_Economics 	2523	197	0	['Export', ' ', 'incentives', ' ', 'and', ' ', 'the', ' ', 'development', ' ', 'of', ' ', 'manufactured', ' ', 'exports', ' ', 'in', ' ', 'Thailand', ' ']
62	63	A study of Korea's export flows and market diversification.	Park  Soon Chul 	มหาวิทยาลัยธรรมศาสตร์	2526	131	0	"['A', ' ', 'study', ' ', 'of', ' ', 'Korea', ""'"", 's', ' ', 'export', ' ', 'flows', ' ', 'and', ' ', 'market', ' ', 'diversification', '.']"
63	64	The profit function approach to the estimation of export supply, import demand and technological change for Thailand.	Noppadol Buranathanung 	Faculty_of_Economics	2533	145	0	['The', ' ', 'profit', ' ', 'function', ' ', 'approach', ' ', 'to', ' ', 'the', ' ', 'estimation', ' ', 'of', ' ', 'export', ' ', 'supply', ',', ' ', 'import', ' ', 'demand', ' ', 'and', ' ', 'technological', ' ', 'change', ' ', 'for', ' ', 'Thailand', '.']
64	65	Comparative advantage of the agricultural sector in Thailand	Kitti Limskul 	Faculty_of_Economics	2522	187	0	['Comparative', ' ', 'advantage', ' ', 'of', ' ', 'the', ' ', 'agricultural', ' ', 'sector', ' ', 'in', ' ', 'Thailand']
65	66	A quantitative study of the welfare effects of sugar polices in Thailand	Naris Chaiyasoot 	มหาวิทยาลัยธรรมศาสตร์	2521	74	0	['A', ' ', 'quantitative', ' ', 'study', ' ', 'of', ' ', 'the', ' ', 'welfare', ' ', 'effects', ' ', 'of', ' ', 'sugar', ' ', 'polices', ' ', 'in', ' ', 'Thailand']
66	67	An economic analysis of Thai sugar marketing and demand	Narongsakdi Thanavibulchai 	มหาวิทยาลัยธรรมศาสตร์	2516	147	0	['An', ' ', 'economic', ' ', 'analysis', ' ', 'of', ' ', 'Thai', ' ', 'sugar', ' ', 'marketing', ' ', 'and', ' ', 'demand']
67	68	Supply of and demand for physicians in Thailand.	Dow Mongkolsmai 	 Faculty_of_Economics	2515	147	0	['Supply', ' ', 'of', ' ', 'and', ' ', 'demand', ' ', 'for', ' ', 'physicians', ' ', 'in', ' ', 'Thailand', '.']
68	69	Hospital costs functions in Bangkok.	Pracha Vasuprasat 	Faculty_of_Economics	2522	105	0	['Hospital', ' ', 'costs', ' ', 'functions', ' ', 'in', ' ', 'Bangkok', '.']
69	70	The price analysis and the rate of return on holding rice and paddy in Thailand.	Somnuk Tubpun 	 Faculty_of_economics	2517	121	0	['The', ' ', 'price', ' ', 'analysis', ' ', 'and', ' ', 'the', ' ', 'rate', ' ', 'of', ' ', 'return', ' ', 'on', ' ', 'holding', ' ', 'rice', ' ', 'and', ' ', 'paddy', ' ', 'in', ' ', 'Thailand', '.']
70	71	The economics of the tobacco curing industry in Chiang Mai.	Suriya Pho-Ngam 	มหาวิทยาลัยธรรมศาสตร์	2519	75	0	['The', ' ', 'economics', ' ', 'of', ' ', 'the', ' ', 'tobacco', ' curing', ' ', 'industry', ' ', 'in', ' ', 'Chiang', ' ', 'Mai', '.']
71	72	Thai bureaucratic capitalism, 1932-1960.	Sungsidh Piriyarangsan 	Faculty_of_Economics	2523	319	0	['Thai', ' ', 'bureaucratic', ' ', 'capitalism', ',', ' ', '1932', '-', '1960', '.']
72	73	The effects of bond financed tax-cut policy on private consumption expenditures in Thailand.	Suthatip Yaiyiam 	Faculty_of_Economics	2533	129	0	['The', ' ', 'effects', ' ', 'of', ' ', 'bond', ' ', 'financed', ' ', 'tax', '-', 'cut', ' ', 'policy', ' ', 'on', ' ', 'private', ' ', 'consumption', ' ', 'expenditures', ' ', 'in', ' ', 'Thailand', '.']
73	74	The effect of taxes on income distribution in Indonesia.	Mangkoesocbroto  Guritno Iman Cahyono 	Faculty_of_Economics	2522	170	0	['The', ' ', 'effect', ' ', 'of', ' ', 'taxes', ' ', 'on', ' ', 'income', ' ', 'distribution', ' ', 'in', ' ', 'Indonesia', '.']
74	75	Export performance of Korean textile industry.	Hwang  Doo Hyun 	มหาวิทยาลัยธรรมศาสตร์	2521	116	0	['Export', ' ', 'performance', ' ', 'of', ' ', 'Korean', ' ', 'textile', ' ', 'industry', '.']
75	76	Analysis of the U.S.A. tin disposals.	Jindarah Phangmuangdee 	c1975.	543	147	0	['Analysis', ' ', 'of', ' ', 'the', ' ', 'U.S.A.', ' ', 'tin disposals', '.']
76	77	Economics of small tractor production in Thailand.	Chirmsak Pinthong 	 Faculty_of_Economics	2517	76	0	['Economics', ' ', 'of', ' ', 'small', ' ', 'tractor', ' ', 'production', ' ', 'in', ' ', 'Thailand', '.']
77	78	Costs and returns from egg production in Amphoe Bang Pa-In, Thailand, 197172.	Prayong Nettayarug 	 Faculty_of_Economics	2516	94	0	['Costs', ' ', 'and', ' ', 'returns', ' ', 'from', ' ', 'egg', ' ', 'production', ' ', 'in', ' ', 'Amphoe Bang', ' ', 'Pa', '-', 'In', ',', ' ', 'Thailand', ',', ' ', '197172', '.']
78	79	Institutional innovation and competition in Malaysian smallholder rubber.	Lee  Aun Nee 	Faculty_of_Economics	2522	94	0	['Institutional', ' ', 'innovation', ' ', 'and', ' ', 'competition', ' ', 'in', ' ', 'Malaysian', ' ', 'smallholder rubber', '.']
79	80	A history of sugar policies in Thailand	Phitsanes Jessadachatr 	มหาวิทยาลัยธรรมศาสตร์	2520	230	0	['A', ' ', 'history', ' ', 'of', ' ', 'sugar', ' ', 'policies', ' ', 'in', ' ', 'Thailand']
80	81	Farm resource productivity under alternative management practices.	Alam  Shamsul 	Faculty_of_Economics	2526	160	0	['Farm', ' ', 'resource', ' ', 'productivity', ' ', 'under', ' ', 'alternative', ' ', 'management', ' ', 'practices', '.']
81	82	High-yielding varieties of rice and fertilizer supply in Bangladesh.	Uddin  Saleh 	Faculty_of_Economics	2523	147	0	['High', '-', 'yielding', ' ', 'varieties', ' ', 'of', ' ', 'rice', ' ', 'and', ' ', 'fertilizer', ' ', 'supply', ' ', 'in', ' ', 'Bangladesh', '.']
82	83	Relationship between deforestation and firewood, fodder and timber consumption among hill people of Nepal.	Chitrakar  Dhruba N 	Faculty_of_Economics	2529	150	0	['Relationship', ' ', 'between', ' ', 'deforestation', ' ', 'and', ' ', 'firewood', ',', ' ', 'fodder', ' ', 'and', ' ', 'timber', ' ', 'consumption', ' ', 'among', ' ', 'hill', ' ', 'people', ' ', 'of', ' ', 'Nepal', '.']
83	84	The development of branch banking in Thailand.	Nopalak Rakthum 	Faculty_of_Economics	2526	103	0	['The', ' ', 'development', ' ', 'of', ' ', 'branch', ' ', 'banking', ' ', 'in', ' ', 'Thailand', '.']
84	85	Risk, market power and profitability	Sirichai Leelakitkul 	Faculty_of_Economics	2525	128	0	['Risk', ',', ' ', 'market', ' ', 'power', ' ', 'and', ' ', 'profitability']
85	86	The Thai television broadcasting industry ;	Paradee Kiatpinyochai 	Faculty_of_Economics	2533	87	0	['The', ' ', 'Thai', ' ', 'television', ' ', 'broadcasting', ' ', 'industry', ' ', ';']
86	87	An economic analysis of the Thai natural rubber industry.	Rungsun Hataiseree 	Faculty_of_Economics	2526	112	0	['An', ' ', 'economic', ' ', 'analysis', ' ', 'of', ' ', 'the', ' ', 'Thai', ' ', 'natural', ' ', 'rubber', ' ', 'industry', '.']
87	88	Time-of-use electricity pricing	Narupat Amornkosit 	Faculty_of_Economics	2532	228	0	['Time', '-', 'of', '-', 'use', ' ', 'electricity', ' ', 'pricing']
88	89	An analysis of short-run and long-run government expenditure multiplier under alternative financing regimes	Somsachee Siksamat 	Faculty_of_Economics	2529	126	0	['An', ' ', 'analysis', ' ', 'of', ' ', 'short', '-', 'run', ' ', 'and', ' ', 'long', '-', 'run', ' ', 'government', ' ', 'expenditure', ' ', 'multiplier', ' ', 'under', ' ', 'alternative', ' ', 'financing', ' ', 'regimes']
89	90	Distributional implications of indirect (consumption) taxation in Thailand.	Woot Puttamon 	Faculty_of_Economics	2533	110	0	['Distributional', ' ', 'implications', ' ', 'of', ' ', 'indirect', ' ', '(', 'consumption', ')', ' ', 'taxation', ' ', 'in', ' ', 'Thailand', '.']
90	91	The natural rubber marketing in Indonesia;	Tan  Firwan 	Faculty_of_Economics	2528	134	0	['The', ' ', 'natural', ' ', 'rubber', ' ', 'marketing', ' ', 'in', ' ', 'Indonesia', ';']
91	92	The impact of small farm mechanization on rice growing farm households;	Liu  Xiao Qiu 	Faculty_of_Economics	2532	137	0	['The', ' ', 'impact', ' ', 'of', ' ', 'small', ' ', 'farm', ' ', 'mechanization', ' ', 'on', ' ', 'rice', ' ', 'growing', ' ', 'farm', ' ', 'households', ';']
92	93	Integration of economic programs to health and nutrition improvement project	Mayuree Luksamiwatana 	Faculty_of_Economics	2524	107	0	['Integration', ' ', 'of', ' ', 'economic', ' ', 'programs', ' ', 'to', ' ', 'health', ' ', 'and', ' ', 'nutrition', ' ', 'improvement', ' ', 'project']
