	Unnamed: 0	id	name	year	researchers	department	research_area	research_type	tokenized_title
10	10	11	ปัจจัยที่ส่งผลกระทบต่อการทำวิจัยของบุคลากรคณะวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยธรรมศาสตร์	2552	นางวิริศรียา  ขวัญดี	คณะวิทยาศาสตร์และเทคโนโลยี			['ปัจจัย', 'ที่', 'ส่ง', 'ผล', 'กระทบ', 'ต่อ', 'การ', 'ทำ', 'วิจัย', 'ของ', 'บุคลากร', 'คณะวิทยาศาสตร์และเทคโนโลยี', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
11	11	12	ความพึงพอใจในการปฏิบัติงานของเจ้าหน้าที่รักษาความปลอดภัย ในมหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2552	ผศ. รวมพร  สิทธิมงคล	คณะวิทยาศาสตร์และเทคโนโลยี			['ความ', 'พึงพอใจ', 'ใน', 'การ', 'ปฏิบัติ', 'งาน', 'ของ', 'เจ้าหน้าที่', 'รักษา', 'ความ', 'ปลอด', 'ภัย', ' ', 'ใน', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
12	12	13	การพัฒนารูปแบบการจัดการเรียนการสอนในรายวิชาการพยาบาลผู้ใหญ่และผู้สูงอายุ คณะพยาบาลศาสตร์ มหาวิทยาลัยธรรมศาสตร์ที่มีการวิจัยเป็นพื้นฐาน	2552	ผศ. จงรักษ์  ศุภกิจเจริญ	คณะพยาบาลศาสตร์			['การ', 'พัฒนา', 'รูปแบบ', 'การ', 'จัด', 'การเรียนการสอน', 'ใน', 'ราย', 'วิชาการ', 'พยาบาล', 'ผู้', 'ใหญ่', 'และ', 'ผู้', 'สูงอายุ', ' ', 'คณะพยาบาลศาสตร์', ' ', 'มหาวิทยาลัยธรรมศาสตร์', 'ที่', 'มี', 'การ', 'วิจัย', 'เป็น', 'พื้นฐาน']
13	13	14	การประเมินสมรรถนะอาคารด้านแสงธรรมชาติ : อาคารคณะสถาปัตยกรรมศาสตร์และการผังเมือง มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2552	ผศ. อวิรุทธ์  ศณีสุธาพรรณ	คณะสถาปัตยกรรมศาสตร์และการผังเมือง			['การ', 'ประเมิน', 'สมรรถนะ', 'อาคาร', 'ด้าน', 'แสง', 'ธรรมชาติ', ' ', ':', ' ', 'อาคาร', 'คณะสถาปัตยกรรมศาสตร์', 'และ', 'การ', 'ผังเมือง', ' ', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
14	14	15	หอพักและการพัฒนาคุณภาพชีวิตของนักศึกษามหาวิทยาลัยธรรมศาสตร์	2552	อ. กฤตพร  ห้าวเจริญ	คณะสถาปัตยกรรมศาสตร์และการผังเมือง			['หอพัก', 'และ', 'การ', 'พัฒนา', 'คุณภาพ', 'ชีวิต', 'ของ', 'นัก', 'ศึกษา', 'มหาวิทยาลัยธรรมศาสตร์']
15	15	16	การจัดพื้นที่สีเขียวในมหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2552	อ. วราลักษณ์  คงอ้วน	คณะสถาปัตยกรรมศาสตร์และการผังเมือง			['การ', 'จัด', 'พื้นที่', 'สี', 'เขียว', 'ใน', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
16	16	17	การศึกษาการเรียนรู้แบบร่วมมือในวิชาการวิจัยทางสังคมสงเคราะห์ 1	2553	ผศ.วรรณลักษณ์  เมียนเกิด	คณะสังคมสงเคราะห์ศาสตร์ 			['การ', 'ศึกษา', 'การ', 'เรียนรู้', 'แบบ', 'ร่วมมือ', 'ใน', 'วิชาการ', 'วิจัย', 'ทาง', 'สังคมสงเคราะห์', ' ', '1']
17	17	18	การพัฒนาระบบการปฏิบัติงานของอาจารย์ที่ปรึกษา มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง	2553	อ.พิมพ์ฉัตร  รสสุธรรม	คณะสังคมสงเคราะห์ศาสตร์ 			['การ', 'พัฒนา', 'ระบบ', 'การ', 'ปฏิบัติ', 'งาน', 'ของ', 'อาจารย์', 'ที่ปรึกษา', ' ', 'มหาวิทยาลัยธรรมศาสตร์', ' ', 'ศูนย์ลำปาง']
18	18	19	ศักยภาพการผลิตบัณฑิตภาควิชาภาษาฝรั่งเศส คณะศิลปศาสตร์ มหาวิทยาลัยธรรมศาสตร์	2553	ผศ.ดร.สิรจิตต์  เดชอมรชัย	คณะศิลปศาสตร์ 			['ศักยภาพ', 'การ', 'ผลิต', 'บัณฑิต', 'ภาค', 'วิชาภาษา', 'ฝรั่งเศส', ' ', 'คณะศิลปศาสตร์', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
19	19	20	การประเมินหลักสูตรวิชาการศึกษาทั่วไป มหาวิทยาลัยธรรมศาสตร์	2553	น.ส.พัชรา  บุญมานำ	คณะศิลปกรรมศาสตร์ 			['การ', 'ประเมิน', 'หลักสูตร', 'วิชาการ', 'ศึกษา', 'ทั่วไป', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
20	20	21	แนวทางการพัฒนาพื้นที่ที่มีศักยภาพเพื่อรองรับการค้าในรูปแบบเศรษฐกิจนอกระบบ (Informal Sector) มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต : กรณีศึกษาตลาดนัดอินเตอร์โซน (Inter Zone) และตลาดนัดโรงพยาบาล มหาวิทยาลัยธรรมศาสตร์	2553	อ.พุฒพรรณี  ศีตะจิตต์	คณะสถาปัตยกรรมศาสตร์และการผังเมือง 			['แนวทาง', 'การ', 'พัฒนา', 'พื้นที่', 'ที่', 'มี', 'ศักยภาพ', 'เพื่อ', 'รองรับ', 'การ', 'ค้า', 'ใน', 'รูปแบบ', 'เศรษฐกิจ', 'นอก', 'ระบบ', ' ', '(', 'Informal', ' ', 'Sector', ')', ' ', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต', ' ', ':', ' ', 'กรณี', 'ศึกษา', 'ตลาด', 'นัด', 'อินเตอร์โซน', ' ', '(', 'Inter', ' ', 'Zone', ')', ' ', 'และ', 'ตลาด', 'นัด', 'โรงพยาบาล', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
21	21	22	การพัฒนาความคิดอย่างมีวิจารณญาณในการอ่านภาษาอังกฤษของนักศึกษาระดับบัณฑิตศึกษา	2553	ผศ.สุพรรณสิริ  วัฑฒกานนท์	สถาบันภาษา 			['การ', 'พัฒนา', 'ความ', 'คิด', 'อย่าง', 'มี', 'วิจารณญาณ', 'ใน', 'การ', 'อ่าน', 'ภาษา', 'อังกฤษ', 'ของ', 'นัก', 'ศึกษา', 'ระดับ', 'บัณฑิต', 'ศึกษา']
22	22	23	การเปลี่ยนแปลงทัศนะของนักศึกษาต่อปัญหาสังคมไท หลังเรียนวิชา พท. 240 งานอาสาสมัครกับการพัฒนาสังคม	2553	น.ส.ศรีสุข  มงกุฎวิสุทธิ์	สำนักบัณฑิตอาสาสมัคร 			['การ', 'เปลี่ยนแปลง', 'ทัศนะ', 'ของ', 'นัก', 'ศึกษา', 'ต่อ', 'ปัญหา', 'สังคม', 'ไท', ' ', 'หลัง', 'เรียน', 'วิชา', ' ', 'พท.', ' ', '240', ' ', 'งาน', 'อาสา', 'สมัคร', 'กับ', 'การ', 'พัฒนา', 'สังคม']
23	23	24	ผลของโครงการอบรมเสริมความรู้ที่มีต่อผลสัมฤทธิ์ทางการเรียนวิชาคณิตศาสตร์ทั่วไประดับมหาวิทยาลัย ของนักศึกษาปีที่ 1 วิทยาลัยสหวิทยาการ มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง	2553	อ.ดร.ถิรวรรณ  นิพิฏฐกุล	วิทยาลัยสหวิทยาการ 			['ผล', 'ของ', 'โครงการ', 'อบรม', 'เสริม', 'ความ', 'รู้', 'ที่', 'มี', 'ต่อ', 'ผล', 'สัมฤทธิ์', 'ทาง', 'การ', 'เรียน', 'วิชา', 'คณิตศาสตร์', 'ทั่วไป', 'ระดับ', 'มหาวิทยาลัย', ' ', 'ของ', 'นัก', 'ศึกษา', 'ปี', 'ที่', ' ', '1', ' ', 'วิทยาลัยสหวิทยาการ', ' ', 'มหาวิทยาลัยธรรมศาสตร์', ' ', 'ศูนย์ลำปาง']
24	24	25	ความคาดหวังและความคิดเห็นของนักศึกษาระดับปริญญาตรีที่มีต่อการจัดการศึกษาคณะวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยธรรมศาสตร์	2554	นางวริศรียา  ขวัญดี	คณะวิทยาศาสตร์และเทคโนโลยี 			['ความ', 'คาดหวัง', 'และ', 'ความ', 'คิดเห็น', 'ของ', 'นัก', 'ศึกษา', 'ระดับ', 'ปริญญา', 'ตรี', 'ที่', 'มี', 'ต่อ', 'การ', 'จัด', 'การ', 'ศึกษา', 'คณะวิทยาศาสตร์และเทคโนโลยี', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
25	25	26	ความต้องการด้านบรรยากาศการทำงานของบุคคลากรคณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์ เพื่อรองรับการประเมินรางวัลคุณภาพแห่งชาติ	2554	รศ.นพ.สุรศักดิ์  บูรณตรีเวทย์	คณะแพทยศาสตร์ 			['ความ', 'ต้องการ', 'ด้าน', 'บรรยากาศ', 'การ', 'ทำ', 'งาน', 'ของ', 'บุคคลากร', 'คณะแพทยศาสตร์', ' ', 'มหาวิทยาลัยธรรมศาสตร์', ' ', 'เพื่อ', 'รองรับ', 'การ', 'ประเมิน', 'รางวัล', 'คุณภาพแห่งชาติ']
26	26	27	การจัดการเรียนรู้และประสบการณ์ (ทักษะ) ด้านสร้างเสริมสุขภาพของนักศึกษาแพทย์ในรายวิชาชั้นคลินิก ของคณะแพทยศาสตร์มหาวิทยาลัยธรรมศาสตร์ 	2554	รศ.นพ.วิวัฒน์  พุทธวรรณไชย	คณะแพทยศาสตร์ 			['การ', 'จัด', 'การ', 'เรียนรู้', 'และ', 'ประสบการณ์', ' ', '(', 'ทักษะ', ')', ' ', 'ด้าน', 'สร้างเสริม', 'สุขภาพ', 'ของ', 'นัก', 'ศึกษา', 'แพทย์', 'ใน', 'รายวิชา', 'ชั้น', 'คลินิก', ' ', 'ของ', 'คณะ', 'แพทยศาสตร์มหาวิทยาลัยธรรมศาสตร์', ' ']
27	27	28	โปรแกรมฐานข้อมูลเพื่อการบริหารจัดการเครื่องมือวิทยาศาสตร์	2554	น.ส.พรเพ็ญ  ก๋ำนารายณ์	คณะแพทยศาสตร์ 			['โปรแกรม', 'ฐาน', 'ข้อมูล', 'เพื่อ', 'การ', 'บริหารจัดการ', 'เครื่องมือ', 'วิทยาศาสตร์']
28	28	29	การจัดการสภาพแวดล้อมทางกายภาพที่ส่งเสริมการเรียนรู้ด้วยตนเองของนักศึกษามหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2554	อ.สาธิดา  สกุลรัตนกุลชัย	คณะสถาปัตยกรรมศาสตร์และการผังเมือง 			['การ', 'จัดการ', 'สภาพ', 'แวดล้อม', 'ทาง', 'กายภาพ', 'ที่', 'ส่งเสริม', 'การ', 'เรียนรู้', 'ด้วย', 'ตน', 'เอง', 'ของ', 'นัก', 'ศึกษา', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
29	29	30	ความพึงพอใจของนักศึกษาที่มีต่อการบริการสาธารณะในมหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2554	อ.วราลักษณ์  คงอ้วน	คณะสถาปัตยกรรมศาสตร์และการผังเมือง 			['ความ', 'พึงพอใจ', 'ของ', 'นัก', 'ศึกษา', 'ที่', 'มี', 'ต่อ', 'การ', 'บริการ', 'สาธารณะ', 'ใน', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
30	30	31	ความพึงพอใจของบุคลากรและนักศึกษามหาวิทยาลัยธรรมศาสตร์ที่มีต่อโรงอาหารภายในมหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2554	อ.กฤตพร  ห้าวเจริญ	คณะสถาปัตยกรรมศาสตร์และการผังเมือง 			['ความ', 'พึงพอใจ', 'ของ', 'บุคลากร', 'และ', 'นัก', 'ศึกษา', 'มหาวิทยาลัยธรรมศาสตร์', 'ที่', 'มี', 'ต่อ', 'โรง', 'อาหาร', 'ภาย', 'ใน', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
31	31	32	กลยุทธ์การเรียนการสอนที่ช่วยปรับปรุงทักษะในการแก้ไขงานเขียนของเพื่อนนักศึกษาร่วมชั้นเรียน	2554	อ.วรรณา  เจริญช่าง	สถาบันภาษา 			['กลยุทธ์', 'การเรียนการสอน', 'ที่', 'ช่วย', 'ปรับปรุง', 'ทักษะ', 'ใน', 'การ', 'แก้ไข', 'งาน', 'เขียน', 'ของ', 'เพื่อน', 'นัก', 'ศึกษา', 'ร่วม', 'ชั้น', 'เรียน']
32	32	33	การเชื่อมโยงเสียงกับคำสำคัญ: ผลที่มีต่อการเรียนรู้ และการจดจำคำศัพท์	2554	ผศ.วัลลีย์  ศิริกาญจนาวงศ์	สถาบันภาษา 			['การ', 'เชื่อมโยง', 'เสียง', 'กับ', 'คำ', 'สำคัญ', ':', ' ', 'ผล', 'ที่', 'มี', 'ต่อ', 'การ', 'เรียนรู้', ' ', 'และ', 'การ', 'จดจำ', 'คำ', 'ศัพท์']
33	33	34	การศึกษาแนวคิดทางจริยศาสตร์ในงานเขียนของพระพรหมคุณากรณ์ (ป.อ.ปยตโต)	2552	รองศาสตราจารย์ ดร.ภัทรพร  สิริกาญจน	คณะศิลปศาสตร์	ทุนวิจัยทั่วไป		['การ', 'ศึกษา', 'แนว', 'คิด', 'ทาง', 'จริยศาสตร์', 'ใน', 'งาน', 'เขียน', 'ของ', 'พระพรหมคุณากรณ์', ' ', '(', 'ป.อ.ปยตโต)']
34	34	35	"การแก้ปัญหาด้านคำศัพท์ในการเขียนภาษาอังกฤษของนักศึกษาระดับปริญญาตรี
"	2552	"ผู้ช่วยศาสตราจารย์ ดร.นันทวิทย์  พรพิบูลย์
"	คณะศิลปศาสตร์	ทุนวิจัยทั่วไป		['การ', 'แก้', 'ปัญหา', 'ด้าน', 'คำ', 'ศัพท์', 'ใน', 'การ', 'เขียน', 'ภาษา', 'อังกฤษ', 'ของ', 'นัก', 'ศึกษา', 'ระดับ', 'ปริญญา', 'ตรี', '\r\n']
35	35	36	การศึกษาการโฆษณาทางโทรทัศน์ที่ไม่เหมาะสมของสินค้าสำหรับเด็ก	2552	ผู้ช่วยศาสตราจารย์ กัลยกร  วรกุลลัฏฐานีย์	คณะวารสารและสื่อสารมวลชน	ทุนวิจัยทั่วไป		['การ', 'ศึกษา', 'การ', 'โฆษณา', 'ทาง', 'โทรทัศน์', 'ที่', 'ไม่', 'เหมาะสม', 'ของ', 'สินค้า', 'สำหรับ', 'เด็ก']
36	36	37	การเพิ่มความยืดหยุ่นให้แก่กระบวนการโลจิสติกส์ในประเทศไทย	2552	ดร.วุฒิไกร  งามศิริจิตต์	วิทยาลัยนวัตกรรม	ทุนวิจัยทั่วไป		['การ', 'เพิ่ม', 'ความ', 'ยืดหยุ่น', 'ให้', 'แก่', 'กระบวน', 'การ', 'โลจิสติกส์', 'ใน', 'ประเทศไทย']
37	37	38	สัณฐานวิทยาและเทคนิคทางชีวโมเลกุลในการจำแนกชนิดแพลงก์ตอนสัตว์ที่ใช้เป็นอาหารมีชีวิตจากตลาดเพาะเลี้ยงปลาสวยงามเขตกรุงเทพมหานครและนนทบุรี ประเทศไทย	2552	อาจารย์ ดร.สุเปญญา  จิตตพันธ์	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['สัณฐานวิทยา', 'และ', 'เทคนิค', 'ทาง', 'ชีวโมเลกุล', 'ใน', 'การ', 'จำแนก', 'ชนิด', 'แพลงก์ตอน', 'สัตว์', 'ที่', 'ใช้', 'เป็น', 'อาหาร', 'มี', 'ชีวิต', 'จาก', 'ตลาด', 'เพาะ', 'เลี้ยง', 'ปลา', 'สวยงาม', 'เขตกรุงเทพมหานคร', 'และ', 'นนทบุรี', ' ', 'ประเทศไทย']
38	38	39	การสังเคราะห์และฤทธิ์ทางชีวภาพทางอนุพันธ์ 1,3,4 - ออกซาไดอะโซล	2552	รองศาสตราจารย์ ดร.ลัดดาวัลย์  ชุนชาติประเสริฐ	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['การ', 'สังเคราะห์', 'และ', 'ฤทธิ์', 'ทาง', 'ชีวภาพ', 'ทาง', 'อนุพันธ์', ' ', '1', ',', '3', ',', '4', ' ', '-', ' ', 'ออก', 'ซาไดอะโซล']
39	39	40	การศึกษาการเพาะเลี้ยงสาหร่าย Anabaena siamensis TISTR 8012 ในถังปฎิกรณ์แบบอากาศยกตัวด้วยกระบวนการหมักแบบแบทซ์ซ้ำเพื่อเก็บเกี่ยวไฟโคไซยานินจากสาหร่ายที่ได้ด้วยโครมาโตรกราฟีแบบดูดซับชนิดฐานขยาย	2552	อาจารย์ ดร.เทพปัญญา  เจริญรัตน์	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['การ', 'ศึกษา', 'การ', 'เพาะ', 'เลี้ยง', 'สาหร่าย', ' ', 'Anabaena siamensis TISTR', ' ', '8012', ' ', 'ใน', 'ถัง', 'ปฎิกรณ์', 'แบบ', 'อากาศ', 'ยก', 'ตัว', 'ด้วย', 'กระบวน', 'การ', 'หมัก', 'แบบ', 'แบทซ์', 'ซ้ำ', 'เพื่อ', 'เก็บเกี่ยว', 'ไฟ', 'โคไซยานิน', 'จาก', 'สาหร่าย', 'ที่', 'ได้', 'ด้วย', 'โครมา', 'โตรกราฟี', 'แบบ', 'ดูดซับ', 'ชนิด', 'ฐาน', 'ขยาย']
40	40	41	กระบวนการบูตสแตรปแบบไม่เป็นอิสระจากประชากรที่มีขนาดจำกัด	2552	อาจารย์ ดร.สุปราณี  ลิสวัสดิ์	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['กระบวนการ', 'บูต', 'สแตรปแบบ', 'ไม่', 'เป็น', 'อิสระ', 'จาก', 'ประชากร', 'ที่', 'มี', 'ขนาด', 'จำกัด']
41	41	42	Confidence sets with the asymptotically constant coverage probability centered at the positive part Jame-Stein estimator	2552	รองศาสตราจารย์ ดร.กมล  บุษบา	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['Confidence', ' ', 'sets', ' ', 'with', ' ', 'the', ' ', 'asymptotically', ' ', 'constant', ' ', 'coverage', ' ', 'probability', ' ', 'centered', ' ', 'at', ' ', 'the', ' ', 'positive', ' ', 'part', ' ', 'Jame', '-', 'Stein', ' ', 'estimator']
42	42	43	การระเบิดที่เกิดจากแหล่งกำเนิดความร้อนที่เคลื่อนที่ได้บนช่วงกึ่งอนันต์	2552	"อาจารย์ ดร.ธวิกานต์  ตรียะประเสริฐ

"	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['การ', 'ระเบิด', 'ที่', 'เกิด', 'จาก', 'แหล่ง', 'กำเนิด', 'ความ', 'ร้อน', 'ที่', 'เคลื่อน', 'ที่', 'ได้', 'บน', 'ช่วง', 'กึ่งอนันต์']
43	43	44	การเปรียบเทียบเชิงประจักษ์ของวิธีการคัดเลือกตัวแบบโดยใช้ข้อมูลจากแผนแบบการทดลอง	2552	อาจารย์ พัทธ์ชนก  ศรีสุรเดชชัย	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['การ', 'เปรียบเทียบ', 'เชิง', 'ประจักษ์', 'ของ', 'วิธี', 'การ', 'คัดเลือก', 'ตัว', 'แบบ', 'โดย', 'ใช้', 'ข้อมูล', 'จาก', 'แผน', 'แบบ', 'การ', 'ทดลอง']
44	44	45	สมบัติทางเคมีกายภาพของแป้งข้าวจ้าวและแป้งมันสำปะหลังดัดแปรด้วยกรด	2552	รองศาสตราจารย์ ดร.จารุณี  โลกสุวรรณ	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['สมบัติ', 'ทาง', 'เคมี', 'กายภาพ', 'ของ', 'แป้ง', 'ข้าว', 'จ้าว', 'และ', 'แป้ง', 'มันสำปะหลัง', 'ดัดแปร', 'ด้วย', 'กรด']
45	45	46	การผลิตไบโอดีเซลจากน้ำมันถั่วเหลืองโดยใช้ตัวเร่งปฏิกิริยาผสมโลหะออกไซด์และ potassium บนตัวรองรับ NaY ซีโอไลต์	2552	อาจารย์ ดร.จตุพร  ธีระกุล	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['การ', 'ผลิต', 'ไบโอดีเซล', 'จาก', 'น้ำมัน', 'ถั่วเหลือง', 'โดย', 'ใช้', 'ตัว', 'เร่ง', 'ปฏิกิริยา', 'ผสม', 'โลหะ', 'ออกไซด์', 'และ', ' ', 'potassium', ' ', 'บน', 'ตัว', 'รองรับ', ' ', 'NaY', ' ', 'ซีโอไลต์']
46	46	47	กาประมาณฟังก์ชันความหนาแน่นของความน่าจะเป็นโดยวิธีเคอร์เนลแบบปรับ 	2552	อาจารย์ ดร.รมิดา  ศรีเหรา	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['กา', 'ประมาณ', 'ฟังก์ชัน', 'ความ', 'หนาแน่น', 'ของ', 'ความ', 'น่า', 'จะ', 'เป็น', 'โดย', 'วิธี', 'เคอร์เนลแบบ', 'ปรับ', ' ']
47	47	48	การใช้ประโยชน์จากฝุ่นข้าวโพดเพื่อเป็นสารเสริมในข้าวโพดหมัก	2552	รองศาสตราจารย์ ดร.อัญชลี  จาละ	คณะวิทยาศาสตร์และเทคโนโลยี	ทุนวิจัยทั่วไป		['การ', 'ใช้', 'ประโยชน์', 'จาก', 'ฝุ่น', 'ข้าวโพด', 'เพื่อ', 'เป็น', 'สาร', 'เสริม', 'ใน', 'ข้าวโพด', 'หมัก']
