Unnamed: 0	id	name	year	researchers	department	research_area	research_type	tokenized_title
14	15	การจำลองกระบวนการดูดซับแก๊ส VCM ที่ปนเปื้อนในแก๊สไฮโดรเจนบนถ่านกำมันต์ปรับสภาพ	2556	นุรักษ์ กฤษดานุรักษ์ 	คณะวิศวกรรมศาสตร์		การวิจัยประยุกต์	['การ', 'จำลอง', 'กระบวนการ', 'ดูดซับ', 'แก๊ส', ' ', 'VCM', ' ', 'ที่', 'ปนเปื้อน', 'ใน', 'แก๊ส', 'ไฮโดรเจน', 'บน', 'ถ่าน', 'กำมันต์ปรับ', 'สภาพ']
15	16	การศึกษาเชิงทฤษฎีและการทดลองของการสร้างลมหมุนวนแบบควงสว่านเพื่อเพิ่มประสิทธิภาพในกระบวนการอบแห้งแบบใช้ลมร้อนโดยใช้การควบคุมการไหลโดยวิธีอีเล็กโตรไฮโดรไดนามิกส์	2556	ไชยณรงค์ จักธรานนท์ 	คณะวิศวกรรมศาสตร์		การวิจัยประยุกต์	['การ', 'ศึกษา', 'เชิง', 'ทฤษฎี', 'และ', 'การ', 'ทดลอง', 'ของ', 'การ', 'สร้าง', 'ลม', 'หมุนวน', 'แบบ', 'ควง', 'สว่าน', 'เพื่อ', 'เพิ่ม', 'ประสิทธิภาพ', 'ใน', 'กระบวน', 'การ', 'อบ', 'แห้งแบบ', 'ใช้', 'ลมร้อน', 'โดย', 'ใช้', 'การ', 'ควบคุม', 'การ', 'ไหล', 'โดย', 'วิธี', 'อีเล็กโตรไฮโดรไดนามิกส์']
16	17	การขยายตัวของรอยร้าวล้าของเหล็กกล้าไร้สนิม 316L ขึ้นรูปด้วยการฉีดขึ้นรูปโลหะผง	2556	ชาวสวน กาญจโนมัย 	คณะวิศวกรรมศาสตร์		การวิจัยพื้นฐาน	['การ', 'ขยาย', 'ตัว', 'ของ', 'รอย', 'ร้าว', 'ล้า', 'ของ', 'เหล็ก', 'กล้า', 'ไร้', 'สนิม', ' ', '316', 'L', ' ', 'ขึ้น', 'รูป', 'ด้วย', 'การ', 'ฉีด', 'ขึ้น', 'รูป', 'โลหะ', 'ผง']
17	18	การศึกษาประสิทธิผลของสารสกัดตำรับเบญจกูลเพื่อใช้เป็นยารักษาผู้ป่วยโรคเรื้อรัง	2556	อรุณพร อิฐรัตน์ 	คณะแพทยศาสตร์		การวิจัยประยุกต์	['การ', 'ศึกษา', 'ประสิทธิผล', 'ของ', 'สาร', 'สกัด', 'ตำรับ', 'เบญจกูล', 'เพื่อ', 'ใช้', 'เป็น', 'ยา', 'รักษา', 'ผู้', 'ป่วย', 'โรค', 'เรื้อรัง']
18	19	การศึกษาเปรียบเทียบผลของ ทาม็อกซิเฟน ซิเตรท เทสโทสเตอโรน อันเดคาโนเอท และโฟเลท ต่อคุณภาพน้ำเชื้ออสุจิของคู่สมรสฝ่ายชายที่มีบุตรยากและมีความผิดปกติของน้ำเชื้ออสุจิ	2556	อาทิตย์ บุญยรางกูร 	คณะแพทยศาสตร์		การวิจัยประยุกต์	['การ', 'ศึกษา', 'เปรียบเทียบ', 'ผล', 'ของ', ' ', 'ทาม็อกซิเฟน ซิเตรท เทสโทสเตอโรน ', 'อัน', 'เดคาโนเอท ', 'และ', 'โฟเลท', ' ', 'ต่อ', 'คุณภาพ', 'น้ำ', 'เชื้ออสุจิ', 'ของ', 'คู่', 'สมรส', 'ฝ่าย', 'ชาย', 'ที่', 'มี', 'บุตร', 'ยาก', 'และ', 'มี', 'ความ', 'ผิด', 'ปกติ', 'ของ', 'น้ำ', 'เชื้อ', 'อสุจิ']
19	20	โปรตีนในสารคัดหลั่ง cystatin ขนาด 170 กิโลดาลตัน ของพยาธิใบไม้ตับชนิด Fasciola gigantica กับการศึกษาหน้าที่ในการกระตุ้น specific cellular pathways ใน mammalian host และหน้าที่ทางชีววิทยาเพื่อความอยู่รอดของพยาธิ	2556	ฮานส์ รูดี กรามส์ 	คณะสหเวชศาสตร์		การพัฒนาทดลอง	['โปรตีน', 'ใน', 'สาร', 'คัดหลั่ง', ' ', 'cystatin', ' ', 'ขนาด', ' ', '170', ' ', 'กิโลดาลตัน', ' ', 'ของ', 'พยาธิ', 'ใบ', 'ไม้', 'ตับ', 'ชนิด', ' ', 'Fasciola gigantica', ' ', 'กับ', 'การ', 'ศึกษา', 'หน้าที่', 'ใน', 'การ', 'กระตุ้น', ' ', 'specific', ' ', 'cellular', ' ', 'pathways', ' ', 'ใน', ' ', 'mammalian', ' ', 'host', ' ', 'และ', 'หน้าที่', 'ทาง', 'ชีววิทยา', 'เพื่อ', 'ความ', 'อยู่', 'รอด', 'ของ', 'พยาธิ']
20	21	โครงการวิจัยและพัฒนาหุ่นยนต์เพื่อช่วยในการฝึกเดินด้วยการช่วยพยุงน้ำหนักบางส่วนในผู้ป่วยโรคหลอดเลือดสมอง	2556	พัชรี คุณค้ำชู 	คณะสหเวชศาสตร์		การพัฒนาทดลอง	['โครงการวิจัย', 'และ', 'พัฒนา', 'หุ่นยนต์', 'เพื่อ', 'ช่วย', 'ใน', 'การ', 'ฝึก', 'เดิน', 'ด้วย', 'การ', 'ช่วย', 'พยุง', 'น้ำหนัก', 'บาง', 'ส่วน', 'ใน', 'ผู้', 'ป่วย', 'โรค', 'หลอด', 'เลือด', 'สมอง']
21	22	การเพิ่มจำนวนยีน การศึกษาคุณลักษณะและความสำคัญของลำดับกรดอะมิโนของยีนเพ็ปไทด์ Defensin ชนิดใหม่จากพืชหรือสัตว์ที่พบในประเทศไทย	2556	รัชนีวรรณ อุ่นแพทย์ 	คณะสหเวชศาสตร์		การวิจัยประยุกต์	['การ', 'เพิ่ม', 'จำนวน', 'ยีน', ' ', 'การ', 'ศึกษา', 'คุณลักษณะ', 'และ', 'ความ', 'สำคัญ', 'ของ', 'ลำดับ', 'กรด', 'อะมิโน', 'ของ', 'ยีนเพ็ปไทด์', ' ', 'Defensin', ' ', 'ชนิด', 'ใหม่', 'จาก', 'พืช', 'หรือ', 'สัตว์', 'ที่', 'พบ', 'ใน', 'ประเทศไทย']
22	23	ผลของสารบริสุทธิ์ torvoside ที่สกัดจากผลมะเขือพวงต่อการเปลี่ยนแปลงเป็นเซลล์ไขมัน (adipogenesis) และการสังเคราะห์ adiponectin ในเซลล์ไขมัน (3T3-L1)	2556	พิไลวรรณ ศิริพฤกษ์พงษ์ 	คณะสหเวชศาสตร์		การวิจัยประยุกต์	['ผล', 'ของ', 'สาร', 'บริสุทธิ์', ' ', 'torvoside', ' ', 'ที่', 'สกัด', 'จาก', 'ผล', 'มะเขือพวง', 'ต่อ', 'การ', 'เปลี่ยนแปลง', 'เป็น', 'เซลล์', 'ไขมัน', ' ', '(', 'adipogenesis', ')', ' ', 'และ', 'การ', 'สังเคราะห์', ' ', 'adiponectin', ' ', 'ใน', 'เซลล์', 'ไขมัน', ' ', '(', '3', 'T', '3', '-', 'L', '1', ')']
23	24	ผลกระทบของการติดเชื้อไวรัสตับอักเสบต่อความรุนแรงของการติดเชื้อไวรัสเอชไอวีในผู้ป่วยชาวไทยที่ได้รับยาต้านไวรัส	2556	จรีภรณ์ เอกวัฒน์ชัย 	คณะสหเวชศาสตร์		การวิจัยประยุกต์	['ผล', 'กระทบ', 'ของ', 'การ', 'ติด', 'เชื้อ', 'ไวรัส', 'ตับ', 'อักเสบ', 'ต่อ', 'ความ', 'รุนแรง', 'ของ', 'การ', 'ติด', 'เชื้อ', 'ไวรัส', 'เอชไอวี', 'ใน', 'ผู้', 'ป่วย', 'ชาว', 'ไทย', 'ที่', 'ได้', 'รับ', 'ยา', 'ต้าน', 'ไวรัส']
24	25	การพัฒนาเปปไทด์ต้านจุลชีพเพื่อใช้เป็น cytotoxic agent สำหรับมะเร็ง	2556	ธีรกุล อาภรณ์สุวรรณ 	คณะสหเวชศาสตร์		การวิจัยประยุกต์	['การ', 'พัฒนา', 'เปปไทด์', 'ต้าน', 'จุลชีพ', 'เพื่อ', 'ใช้', 'เป็น', ' ', 'cytotoxic', ' ', 'agent', ' ', 'สำหรับ', 'มะเร็ง']
25	26	ผลของลิพอพอลิแซ็กคาไรด์ชนิดต่างๆ ต่อการสร้าง MIP-3a/CCL20 ในเซลล์บุช่องปาก OKF6/TERT2 ที่เลี้ยงร่วมกับเซลล์โมโนไซต์ THP-1	2556	กมลพรรณ ภักดี 	คณะทันตแพทยศาสตร์		การวิจัยพื้นฐาน	['ผล', 'ของ', 'ลิพอ', 'พอลิแซ็กคาไรด์', 'ชนิด', 'ต่างๆ', ' ', 'ต่อ', 'การ', 'สร้าง', ' ', 'MIP', '-', '3', 'a', '/', 'CCL20', ' ', 'ใน', 'เซลล์', 'บุช่อง', 'ปาก', ' ', 'OKF6', '/', 'TERT2', ' ', 'ที่', 'เลี้ยง', 'ร่วม', 'กับ', 'เซลล์', 'โมโนไซต์', ' ', 'THP', '-', '1']
26	27	ผลของสารสกัดพรอโพลิสในประเทศไทยต่อการยึดเกาะของไบโอฟิล์มเชื้อก่อโรคฟันผุบนพื้นผิวไฮดรอกซี่อะพาไทต์ที่เคลือบด้วยน้ำลาย	2556	สิทธิชัย ขุนทองแก้ว 	คณะทันตแพทยศาสตร์		การวิจัยพื้นฐาน	['ผล', 'ของ', 'สาร', 'สกัด', 'พรอโพลิส', 'ใน', 'ประเทศไทย', 'ต่อ', 'การ', 'ยึดเกาะ', 'ของ', 'ไบโอฟิล์ม', 'เชื้อ', 'ก่อ', 'โรค', 'ฟัน', 'ผุ', 'บน', 'พื้น', 'ผิว', 'ไฮดรอกซี่', 'อะพาไทต์', 'ที่', 'เคลือบ', 'ด้วย', 'น้ำลาย']
27	28	ผลของวัสดุรองรับเซลล์ที่ย่อยสลายทางชีวภาพได้ชนิดแคลเซียมฟอสเฟต/พอลีเอสเตอร์ที่ตรึงด้วยเปปไทด์สายสั้นต่อเซลล์กระดูก	2556	สมหญิง พัฒน์ธีรพงศ์ 	คณะทันตแพทยศาสตร์		การวิจัยพื้นฐาน	['ผล', 'ของ', 'วัสดุ', 'รองรับ', 'เซลล์', 'ที่', 'ย่อยสลาย', 'ทาง', 'ชีวภาพ', 'ได้', 'ชนิด', 'แคลเซียม', 'ฟอสเฟต', '/', 'พอลีเอสเตอร์', 'ที่', 'ตรึง', 'ด้วย', 'เปป', 'ไทด์', 'สาย', 'สั้น', 'ต่อ', 'เซลล์', 'กระดูก']
28	29	การแปลความหมายเชิงประวัติศาสตร์ของเรือนพื้นถิ่นกลายรูปและ ผลิตใหม่: การขยายขอบเขตแหล่งท่องเที่ยวสู่อาคารระดับชาวบ้านที่มีความสำคัญทางวัฒนธรรม	2556	ภูมิชาย พันธุ์ไพโรจน์ 	คณะสถาปัตยกรรมศาสตร์และการผังเมือง		การวิจัยประยุกต์	['การ', 'แปล', 'ความหมาย', 'เชิง', 'ประวัติศาสตร์', 'ของ', 'เรือน', 'พื้นถิ่น', 'กลาย', 'รูป', 'และ', ' ', 'ผลิต', 'ใหม่', ':', ' ', 'การ', 'ขยาย', 'ขอบเขต', 'แหล่ง', 'ท่องเที่ยว', 'สู่', 'อาคาร', 'ระดับ', 'ชาว', 'บ้าน', 'ที่', 'มี', 'ความ', 'สำคัญ', 'ทาง', 'วัฒนธรรม']
29	30	ทุนทางสังคมกับการเสริมสร้างการปกครองท้องถิ่น: การศึกษาเปรียบเทียบประเทศไทย-ญี่ปุ่น-เกาหลีใต้	2556	รุ่งนภา เทพภาพ 	วิทยาลัยสหวิทยาการ		การวิจัยพื้นฐาน	['ทุน', 'ทาง', 'สังคม', 'กับ', 'การ', 'เสริมสร้าง', 'การ', 'ปกครอง', 'ท้องถิ่น', ':', ' ', 'การ', 'ศึกษา', 'เปรียบเทียบ', 'ประเทศไทย', '-', 'ญี่ปุ่น', '-', 'เกาหลีใต้']
30	31	การพัฒนาการท่องเที่ยวเพื่อการเรียนรู้ที่มีพิพิธภัณฑ์เป็นศูนย์กลางในจังหวัดปทุมธานี	2556	อิสรา อุปถัมภ์ 	สถาบันไทยคดีศึกษา		การพัฒนาทดลอง	['การ', 'พัฒนา', 'การ', 'ท่องเที่ยว', 'เพื่อ', 'การ', 'เรียนรู้', 'ที่', 'มี', 'พิพิธภัณฑ์', 'เป็น', 'ศูนย์กลาง', 'ใน', 'จังหวัดปทุมธานี']
31	32	การพัฒนาสถาบันอุดมศึกษาของไทยเพื่อรองรับการเคลื่อนย้ายแรงงานที่มีทักษะในหมู่ประเทศกลุ่มอาเซียนภายใต้กรอบประชาคมเศรษฐกิจอาเซียน	2556	สมชาย สุขสิริเสรีกุล 	สถาบันทรัพยากรมนุษย์		การวิจัยประยุกต์	['การ', 'พัฒนา', 'สถาบัน', 'อุดมศึกษา', 'ของ', 'ไทย', 'เพื่อ', 'รองรับ', 'การ', 'เคลื่อนย้าย', 'แรงงาน', 'ที่', 'มี', 'ทักษะ', 'ใน', 'หมู่', 'ประเทศ', 'กลุ่มอาเซียน', 'ภาย', 'ใต้', 'กรอบ', 'ประชาคม', 'เศรษฐกิจ', 'อาเซียน']
32	33	การคุ้มครองทางสังคมสำหรับแรงงานนอกระบบในกลุ่มประเทศอาเซียน	2556	นฤมล นิราทร 	สถาบันทรัพยากรมนุษย์		การวิจัยประยุกต์	['การ', 'คุ้มครอง', 'ทาง', 'สังคม', 'สำหรับ', 'แรงงาน', 'นอก', 'ระบบ', 'ใน', 'กลุ่ม', 'ประเทศอาเซียน']
33	34	การศึกษาชีววิทยาระดับโมเลกุลของจีน pfmrp1 และ pfhdac1 ต่อการดื้อยาอาร์ติซูเนตและเมฟโฟลควินของเชื้อมาลาเรียชนิดฟัลซิพารัม	2556	วรรณา ชัยเจริญกุล 	ศูนย์ความเป็นเลิศทางการวิจัย ค้นคว้าและพัฒนายา		การพัฒนาทดลอง	['การ', 'ศึกษา', 'ชีววิทยา', 'ระดับ', 'โมเลกุล', 'ของ', 'จีน', ' ', 'pfmrp', '1', ' ', 'และ', ' ', 'pfhdac', '1', ' ', 'ต่อ', 'การ', 'ดื้อยาอาร์ติซูเนต', 'และ', 'เมฟโฟลควิน', 'ของ', 'เชื้อมาลาเรีย', 'ชนิด', 'ฟัลซิพารัม']
34	35	ปฏิกิริยาทางเภสัชจลนศาสตร์ระหว่างกันและเภสัชพันธุศาสตร์ของยาต้านมาลาเรียและยาต้านไวรัสเอชไอวีกลุ่มยับยั้งโปรตีนเมื่อได้รับร่วมกันในอาสาสมัครชาวไทยที่มีสุขภาพสมบูรณ์	2556	เกศรา ณ บางช้าง	ศูนย์ความเป็นเลิศทางการวิจัย ค้นคว้าและพัฒนายา		การวิจัยประยุกต์	['ปฏิกิริยา', 'ทาง', 'เภสัชจลนศาสตร์', 'ระหว่าง', 'กัน', 'และ', 'เภสัชพันธุศาสตร์', 'ของ', 'ยา', 'ต้าน', 'มาลาเรีย', 'และ', 'ยา', 'ต้าน', 'ไวรัส', 'เอชไอวี', 'กลุ่ม', 'ยับยั้ง', 'โปรตีน', 'เมื่อ', 'ได้', 'รับ', 'ร่วม', 'กัน', 'ใน', 'อาสา', 'สมัคร', 'ชาว', 'ไทย', 'ที่', 'มี', 'สุขภาพ', 'สมบูรณ์']
35	36	"การพัฒนาขีดความสามารถการท่องเที่ยวอิเล็กทรอนิกส์ไทย
เพื่อการแข่งขันของการท่องเที่ยวไทยในยุคดิจิตอล"	2555	ศิริลักษณ์  โรจนกิจอำนวย	คณะพาณิชยศาสตร์และการบัญชี			['การ', 'พัฒนา', 'ขีด', 'ความ', 'สามารถ', 'การ', 'ท่องเที่ยว', 'อิเล็กทรอนิกส์ไทย', '\r\n', 'เพื่อ', 'การ', 'แข่งขัน', 'ของ', 'การ', 'ท่องเที่ยว', 'ไทย', 'ใน', 'ยุค', 'ดิจิตอล']
36	37	การพัฒนารูปแบบการสอนการเขียนบทความวิจัยภาษาอังกฤษ  (ระยะที่3)	2555	เสน่ห์  ทองรินทร์	คณะศิลปศาสตร์			['การ', 'พัฒนา', 'รูปแบบ', 'การ', 'สอน', 'การ', 'เขียน', 'บทความ', 'วิจัย', 'ภาษา', 'อังกฤษ', ' ', ' ', '(', 'ระยะ', 'ที่', '3', ')']
37	38	"การพัฒนาระบบวิเคราะห์อัตโนมัติแบบไหลชนิด one-shot 
analysis สำหรับติดตามปริมาณความเค็ม คาร์บอเนต และฟอสฟอรัสเพื่อการควบคุมคุณภาพแหล่งน้ำ"	2555	กมลทิพย์  เสรีนนท์ชัย	คณะวิทยาศาสตร์และเทคโนโลยี			['การ', 'พัฒนา', 'ระบบ', 'วิเคราะห์', 'อัตโนมัติ', 'แบบ', 'ไหล', 'ชนิด', ' ', 'one', '-', 'shot', ' ', '\r\n', 'analysis', ' ', 'สำหรับ', 'ติดตาม', 'ปริมาณ', 'ความ', 'เค็ม', ' ', 'คาร์บอเนต', ' ', 'และ', 'ฟอสฟอรัส', 'เพื่อ', 'การ', 'ควบคุม', 'คุณภาพ', 'แหล่ง', 'น้ำ']
38	39	"การประยุกต์ใช้คลื่นอัลตร้าโซนิกเร่งปฏิกิริยาทรานส์เอสเทอ
ริฟิเคชันแบบวิวิธพันธ์ของน้ำมันปาล์ม"	2555	ชนาธิป  สามารถ	คณะวิทยาศาสตร์และเทคโนโลยี			['การ', 'ประยุกต์', 'ใช้', 'คลื่น', 'อัลตร้าโซนิก', 'เร่ง', 'ปฏิกิริยา', 'ทรานส์เอสเทอ', '\r\n', 'ริฟิเคชัน', 'แบบ', 'วิวิธพันธ์', 'ของ', 'น้ำมัน', 'ปาล์ม']
39	40	"คุณสมบัติการต้านอนุมูลอิสระของเครื่องดื่มสมุนไพรน้ำ
สกัดจากใบว่านรางจืด และช่วงเวลาความทนทานของ
ผลิตภัณฑ์"	2555	นิรมล  ศากยวงศ์	คณะวิทยาศาสตร์และเทคโนโลยี			['คุณสมบัติ', 'การ', 'ต้าน', 'อนุมูล', 'อิสระ', 'ของ', 'เครื่อง', 'ดื่ม', 'สมุนไพร', 'น้ำ', '\r\n', 'สกัด', 'จาก', 'ใบ', 'ว่านราง', 'จืด', ' ', 'และ', 'ช่วง', 'เวลา', 'ความ', 'ทนทาน', 'ของ', '\r\n', 'ผลิตภัณฑ์']
40	41	การเคลือบชุดฟิล์มอิเล็กโตรโครมิคบนกระจกสำหรับสะท้อนคลื่นแสงที่มีชั้นทังสเตนไตรออกไซด์เป็นชั้นหลัก	2555	กมล  เอี่ยมพนากิจ	คณะวิทยาศาสตร์และเทคโนโลยี			['การ', 'เคลือบ', 'ชุด', 'ฟิล์ม', 'อิเล็กโตรโครมิ', 'คบน', 'กระจก', 'สำหรับ', 'สะท้อน', 'คลื่น', 'แสง', 'ที่', 'มี', 'ชั้น', 'ทังสเตนไตรออกไซด์', 'เป็น', 'ชั้น', 'หลัก']
41	42	"การเตรียมฟิล์ม F-TiO2 ลงบนโลหะสำหรับทำกังหันน้ำเพื่อ
บำบัดน้ำเสียจากอุตสาหกรรมสิ่งทอ"	2555	สายัณห์  ผุดวัฒน์	คณะวิทยาศาสตร์และเทคโนโลยี			['การ', 'เตรียม', 'ฟิล์ม', ' ', 'F', '-', 'TiO2', ' ', 'ลง', 'บน', 'โลหะ', 'สำหรับ', 'ทำ', 'กังหัน', 'น้ำเพื่อ', '\r\n', 'บำบัด', 'น้ำ', 'เสีย', 'จาก', 'อุตสาหกรรม', 'สิ่ง', 'ทอ']
