	Unnamed: 0	Unnamed: 0.1	id	title	authors	publication	publish_date	publish_year	publish_month	type_id	doi	tokenized_title	year
22	22	22	23	Fuzzy goal programming model for press and mold selection problem : A case study of tire industry	Paroung C. and Phruksaphanrat B.	Proceeding of Multilnternational Conference of Engineerings and Computer Scientists	 14-16 มีนาคม 2555			1		['Fuzzy', ' ', 'goal', ' ', 'programming', ' ', 'model', ' ', 'for', ' ', 'press', ' ', 'and', ' ', 'mold', ' ', 'selection', ' ', 'problem', ' ', ':', ' ', 'A', ' ', 'case', ' ', 'study', ' ', 'of', ' ', 'tire', ' ', 'industry']	2555.0
23	23	23	24	Fuzzy Inventory Control System for Uncertain Demand and Supply 	Tanthanemee T. and Phruksaphanrat B                                        	Proceeding of Multilnternational Conference of Engineerings and Computer Scientists	 14-16 มีนาคม 2555			1		['Fuzzy', ' ', 'Inventory', ' ', 'Control', ' ', 'System', ' ', 'for', ' ', 'Uncertain', ' Demand', ' ', 'and', ' ', 'Supply', ' ']	2555.0
24	24	24	25	Fuzzy multi-objective assignment model for manufacturing cell formation with duplicated machines	วุฒินันท์ นุ่นแก้ว และ บุษบา พฤกษาพันธุ์รัตน์	International conference on applied operational research ครั้งที่ 4	25-27 กรกฎาคม 2555			1		['Fuzzy', ' ', 'multi', '-', 'objective', ' ', 'assignment', ' ', 'model', ' ', 'for', ' ', 'manufacturing', ' ', 'cell', ' ', 'formation', ' ', 'with', ' ', 'duplicated', ' ', 'machines']	2555.0
25	25	25	26	Fuzzy multi-objective cell formation model for cellular manufacturing system	Nunkaew W.  And  Phruksaphanrat B.	การประชุมวิชาการ IAENG Transactions on engineering technologies vol.7	พ.ศ.2555			1		['Fuzzy', ' ', 'multi', '-', 'objective', ' ', 'cell', ' ', 'formation', ' ', 'model', ' ', 'for', ' ', 'cellular', ' ', 'manufacturing', ' ', 'system']	2555.0
26	26	26	27	Fuzzy multiobjective production logistics planning model with interval demand and uncertain capacity	Phruksaphanrat B.	การประชุมวิชาการ IAENG Transactions on engineering technologies vol.7	พ.ศ.2555			1		['Fuzzy', ' ', 'multiobjective', ' ', 'production', ' ', 'logistics', ' ', 'planning', ' ', 'model', ' ', 'with', ' ', 'interval', ' ', 'demand', ' ', 'and', ' ', 'uncertain', ' ', 'capacity']	2555.0
27	27	27	28	Harmony Search Algorithm with Various Evolutionary Elements for Fuzzy Aggregate Production Planning	Pasura Aungkulanon, Busaba Phruksaphanrat and Pongchanun Luangpaiboon	Lecture notes in Electrical Engineering, 2012, 1, vol 110, 189-201	  มกราคม 2555			1		['Harmony', ' ', 'Search Algorithm', ' ', 'with', ' ', 'Various', ' ', 'Evolutionary', ' ', 'Elements', ' ', 'for', ' ', 'Fuzzy', ' ', 'Aggregate', ' ', 'Production', ' ', 'Planning']	2555.0
28	28	28	29	Heat Treatment Process Optimization Using Hunting Search and Ant Sense on Path of Steepest Ascent	นายกรกช ไวยกาญจน์ และ นายพงศ์ชนัน เหลืองไพบูลย์	Proceedings of the 2012 International Conference on Advanced Design and Manufacturing Engineering, August 16-18, 2012 Taiyuan, China	 16-18 สิงหาคม 2555			1		['Heat', ' ', 'Treatment', ' ', 'Process', ' ', 'Optimization', ' ', 'Using', ' ', 'Hunting', ' ', 'Search', ' ', 'and', ' ', 'Ant', ' ', 'Sense', ' ', 'on', ' ', 'Path', ' ', 'of', ' ', 'Steepest', ' ', 'Ascent']	2555.0
29	29	29	30	Hunting Search and Ant Colony Optimization Mechanisms on Modified Simplex Method for Grease Position Parameter Design	สุภัชรชัย บุญหาว และ พงศ์ชนัน เหลืองไพบูลย์	Proceedings of the 2012 International Conference on Advanced Design and Manufacturing Engineering, August 16-18, 2012 Taiyuan, China	 16-18 สิงหาคม 2555			1		['Hunting', ' ', 'Search', ' ', 'and', ' ', 'Ant', ' ', 'Colony ', 'Optimization', ' ', 'Mechanisms', ' ', 'on', ' ', 'Modified', ' ', 'Simplex', ' ', 'Method', ' ', 'for', ' ', 'Grease', ' ', 'Position', ' ', 'Parameter', ' Design']	2555.0
30	30	30	31	Hybridization of Metaheuristics for Multi-Objective Aggregate Production Planning with Desirability Function on Food-Beverage Demand	พงศ์ชนัน  เหลืองไพบูลย์ และ ภาสุระ  อังกุลานนท์	การประชุมวิชาการ The 2012 International Conference on Agricultural, Food and Biological Engineering  	11-13 พฤษภาคม 2555			1		['Hybridization', ' ', 'of', ' ', 'Metaheuristics', ' ', 'for', ' ', 'Multi', '-', 'Objective', ' ', 'Aggregate', ' ', 'Production', ' ', 'Planning', ' ', 'with', ' ', 'Desirability', ' ', 'Function', ' ', 'on', ' ', 'Food', '-', 'Beverage', ' ', 'Demand']	2555.0
31	31	31	32	Integrated location distribution and investment model for new distribution centers using possibilstic programming	จักรพรรดิ  เชื้อนิล และ บุษบา  พฤกษาพันธุ์รัตน์	International conference on applied operational research ครั้งที่ 4	25-27 กรกฎาคม 2555			1		['Integrated', ' ', 'location', ' ', 'distribution', ' ', 'and', ' ', 'investment', ' ', 'model', ' ', 'for', ' ', 'new', ' ', 'distribution', ' ', 'centers', ' ', 'using', ' ', 'possibilstic', ' ', 'programming']	2555.0
32	32	32	33	Investigation of Electrical Discharge Machining of Tungsten Carbide Using EDM-C3 Electrode Material	Pichai Janmanee, Kamonpong Jamkamon  and Apiwat Muttamara	European Journal of Scientific Research Vol76/Issue 1 เดือน pp.133-141	  พฤษภาคม 2555			1		['Investigation', ' ', 'of', ' ', 'Electrical', ' ', 'Discharge', ' ', 'Machining', ' ', 'of', ' ', 'Tungsten', ' ', 'Carbide', ' Using', ' ', 'EDM-', 'C', '3', ' ', 'Electrode', ' ', 'Material']	2555.0
33	33	33	34	Job Involvement, Job Satisfaction, and Organizational Commitment : Predicting Propensity to Leave a Job among Skilled Employee	Pei - Lee. The and  Laosirihongthong, Tritos	การประชุมวิชาการ 2011 IEEE 18th International Conference on Quality and Reliability	14-17 กันยายน 2555			1		['Job', ' ', 'Involvement', ',', ' ', 'Job Satisfaction', ',', ' ', 'and', ' ', 'Organizational', ' ', 'Commitment', ' ', ':', ' ', 'Predicting', ' ', 'Propensity', ' ', 'to', ' ', 'Leave', ' ', 'a', ' ', 'Job', ' ', 'among', ' ', 'Skilled', ' ', 'Employee']	2555.0
34	34	34	35	Multi-response Surface Optimisation with Different Priorities for Ramp Process Parameter Design	เรวดี  อิ่นแก้ว และ พงศ์ชนัน  เหลืองไพบูลย์	การประชุมวิชาการ The 2012 International Conference on Manufacturing Engineering and Process	5-6 พฤษภาคม 2555			1		['Multi', '-', 'response', ' ', 'Surface', ' ', 'Optimisation', ' ', 'with', ' ', 'Different', ' ', 'Priorities', ' ', 'for', ' ', 'Ramp', ' ', 'Process', ' ', 'Parameter', ' Design']	2555.0
35	35	35	36	Multi-Response Surface Optimization of a Cryogenic Freezing Process via Variable Neighborhood Modified Simplex Search	 ระพีภัทร  อุพร และ พงศ์ชนัน  เหลืองไพบูลย์	การประชุมวิชาการ The 2012 International Conference on Agricultural, Food and Biological Engineering  	11-13 พฤษภาคม 2555			1		['Multi', '-', 'Response', ' ', 'Surface', ' ', 'Optimization', ' ', 'of', ' ', 'a', ' ', 'Cryogenic', ' Freezing', ' ', 'Process', ' ', 'via', ' ', 'Variable', ' ', 'Neighborhood', ' ', 'Modified', ' ', 'Simplex', ' ', 'Search']	2555.0
36	36	36	37	Nature-Inspired Algorithms of Bees, Firefly and BAT for Noisy non-linear optimisation problems	นฤมล  ไชยเอียด, ภาสุระ  อังกุลานนท์ และ พงศ์ชนัน  เหลืองไพบูลย์	IAENG Transactions on Engineering Technologies, Vol. 7, pp. 62-77	พ.ศ.2555			1		['Nature', '-', 'Inspired', ' ', 'Algorithms', ' ', 'of', ' ', 'Bees', ',', ' ', 'Firefly', ' ', 'and', ' ', 'BAT', ' ', 'for', ' ', 'Noisy', ' ', 'non', '-', 'linear', ' ', 'optimisation', ' ', 'problems']	2555.0
37	37	37	38	Optimisation of  Manufacturing Process Models via Intelligent Water Drop Algorithm	พงศ์ชนัน เหลืองไพบูลย์	Proceedings of the 2012 International Conference on Advanced Design and Manufacturing Engineering, August 16-18, 2012 Taiyuan, China	 16-18 สิงหาคม 2555			1		['Optimisation', ' ', 'of', ' ', ' ', 'Manufacturing', ' ', 'Process', ' ', 'Models', ' ', 'via', ' ', 'Intelligent', ' ', 'Water', ' ', 'Drop', ' ', 'Algorithm']	2555.0
38	38	38	39	Performance Monitoring under Supply and Demand Disruption : A Fuzzy-based Decision Support Model	P. Samaranayake, T. Laosirihongthong, and HCW Lau	10th ANZAM Operations, Supply Chain and Services Management Symposium 2012	14-24 มิถุนายน 2555			1		['Performance', ' Monitoring', ' ', 'under', ' ', 'Supply', ' ', 'and', ' ', 'Demand', ' ', 'Disruption', ' ', ':', ' ', 'A', ' ', 'Fuzzy', '-', 'based', ' ', 'Decision', ' ', 'Support', ' ', 'Model']	2555.0
39	39	39	40	Radiation-Induced Crosslinking of Polylactic Acid : Effects of Air and Vacuum	กฤตพล ศรีวงษา, เกศินี เหมวิเชียร, วรารัตน์ กังสัมฤทธิ์, พิริยาธร สุวรรณมาลา และ ถิราวุธ พงศ์ประยูร	TIChE International Conference 2011	 10 พฤศจิกายน 2554			1		['Radiation', '-', 'Induced', ' ', 'Crosslinking', ' ', 'of', ' ', 'Polylactic', ' ', 'Acid', ' ', ':', ' ', 'Effects', ' ', 'of', ' ', 'Air', ' ', 'and', ' ', 'Vacuum']	2554.0
40	40	40	41	Reverse production system infrastructure design for electronic products in the state of Texas	Tiravat Assavapokee  and Wuthichai Wongthatsanekorn	Computers and Industrial Engineering 62 (1), pp.129-140	 กุมภาพันธ์ 2555			1		['Reverse', ' ', 'production', ' ', 'system', ' ', 'infrastructure', ' ', 'design', ' ', 'for', ' ', 'electronic', ' ', 'products', ' ', 'in', ' ', 'the', ' ', 'state', ' ', 'of', ' ', 'Texas']	2555.0
41	41	41	42	Sequential Multiple Response Optimization for Manufacturing Flexible Printed Circuit	Pichpimon Kanchanasuttisang and Pongchanun Luangpaiboon	 American Journal of Applied Sciences  Vol.9(5) pp 772-778	ปี 2555			1		['Sequential', ' ', 'Multiple', ' ', 'Response', ' ', 'Optimization', ' ', 'for', ' ', 'Manufacturing', ' ', 'Flexible', ' ', 'Printed', ' ', 'Circuit']	2555.0
42	42	42	43	Simulated Manufacturing Condition Improvement by Particle Swarm Optimisation, Firefly and Hunting search Algorithms.	ภาสุระ  อังกุลานนท์, นฤมล  ไชยเอียด และ พงศ์ชนัน  เหลืองไพบูลย์	IAENG Transactions on Engineering Technologies, Vol. 7, pp. 230-243	พ.ศ.2555			1		['Simulated', ' Manufacturing', ' ', 'Condition', ' ', 'Improvement', ' ', 'by', ' ', 'Particle', ' ', 'Swarm', ' ', 'Optimisation', ',', ' ', 'Firefly', ' ', 'and', ' ', 'Hunting', ' ', 'search', ' ', 'Algorithms', '.']	2555.0
43	43	43	44	Six-Sigma TM Implementation : Resouree-Based View Perspective	T. Kiatcharoenpol,  L. Ruekkasaem, D. I. Prajogo  and T. Laosirihongthong	การประชุมวิชาการ 2011 IEEE 18th International Conference on Industrial Engineering and Engineering Management	3-5 กันยายน 2555			1		['Six', '-', 'Sigma TM', ' ', 'Implementation', ' ', ':', ' ', 'Resouree', '-', 'Based', ' ', 'View', ' ', 'Perspective']	2555.0
44	44	44	45	Stochastic search mechanisms on the bee algorithm for optimising noisy multi-response surfaces	นายภาสุระ อังกุลานนท์ และ นายพงศ์ชนัน เหลืองไพบูลย์	Proceeding of the 2012 International Conference on Applied Operational Research, Bangkok, Thailand Advanced Materials Research  Vol.4:154-164	 25-27 กรกฎาคม 2555			1		['Stochastic', ' ', 'search', ' ', 'mechanisms', ' ', 'on', ' ', 'the', ' ', 'bee', ' ', 'algorithm', ' ', 'for', ' ', 'optimising', ' ', 'noisy', ' ', 'multi', '-', 'response', ' ', 'surfaces']	2555.0
45	45	45	46	Strategic management of university business incubators (UBIs) : Resource-based view (RBV) theory	N. Somsuk, T. Laosirihongthong, M.W. McLean	The 6th IEEE International Conference on Management of Innovation and Technology	11-13 มิถุนายน 2555			1		['Strategic', ' ', 'management', ' ', 'of', ' ', 'university', ' ', 'business', ' ', 'incubators', ' ', '(', 'UBIs', ')', ' ', ':', ' ', 'Resource', '-', 'based', ' ', 'view', ' ', '(', 'RBV', ')', ' ', 'theory']	2555.0
46	46	46	47	Strategic management of university business incubators (UBLs) : Resource-based view (RBV) theory 2.Fuzzy multi-objective assignment model for manufacturing cell formation with duplicated machines 3.Fuzzy facility-allocation for biomass transformation plan	บุษบา  พฤกษาพันธุ์รัตน์	4th International Conference on Applied Operational Research - ICAOR 2012	25-27 กรกฎาคม 2555			1		['Strategic', ' ', 'management', ' ', 'of', ' ', 'university', ' ', 'business', ' ', 'incubators', ' ', '(', 'UBLs', ')', ' ', ':', ' ', 'Resource', '-', 'based', ' ', 'view', ' ', '(', 'RBV', ')', ' ', 'theory', ' ', '2', '.', 'Fuzzy', ' ', 'multi', '-', 'objective', ' ', 'assignment', ' ', 'model', ' ', 'for', ' ', 'manufacturing', ' ', 'cell', ' ', 'formation', ' ', 'with', ' ', 'duplicated', ' ', 'machines', ' ', '3', '.', 'Fuzzy', ' ', 'facility', '-', 'allocation', ' ', 'for', ' ', 'biomass', ' ', 'transformation', ' ', 'plan']	2555.0
47	47	47	48	Surface modification of tungsten carbide by electrical discharge costing (EDC) using a titanium powder suspension	Pichai Janmanee and Apiwat Muttamara	Applied Surface Science	 20 พฤษภาคม 2555			1		['Surface', ' ', 'modification', ' ', 'of', ' ', 'tungsten', ' ', 'carbide', ' ', 'by', ' ', 'electrical', ' ', 'discharge', ' ', 'costing', ' ', '(', 'EDC', ')', ' ', 'using', ' ', 'a', ' ', 'titanium', ' ', 'powder', ' ', 'suspension']	2555.0
48	48	48	49	Taguchi and Constrained Response Surface Optimization Methods on Surface Mounting Process Improvement	พัชรพรรณ  สุระดม,  เสมอจิตร  หอมรสสุคนธ์ และ พงศ์ชนัน  เหลืองไพบูลย์	IAENG Transactions on Engineering Technologies, Vol. 7, pp. 158-173	พ.ศ.2555			1		['Taguchi', ' ', 'and', ' ', 'Constrained', ' ', 'Response', ' ', 'Surface', ' ', 'Optimization', ' ', 'Methods', ' ', 'on', ' ', 'Surface', ' ', 'Mounting', ' ', 'Process', ' ', 'Improvement']	2555.0
49	49	49	50	Tensile and Fatiue Properties of Fe-Cu-C Sintered Steels	Supachai Surapunt and Yoshiharu Mutoh	The 6tj International Conference on Advanced Computation Engineering and Experimenting (ACE-X2012)	29 มิถุนายน -6 กรกฎาคม 2555			1		['Tensile', ' ', 'and', ' ', 'Fatiue', ' ', 'Properties', ' ', 'of', ' ', 'Fe', '-', 'Cu', '-', 'C', ' Sintered', ' ', 'Steels']	2555.0
50	50	50	51	กระบวนการลำดับขั้นเชิงวิเคราะห์สำหรับการเลือกผังแบบเซลล์และการจำลองสถานการณ์ของโรงงานบริการผลิตผลิตภัณฑ์อิเล็กทรอนิกส์	บุษบา พฤกษาพันธุ์รัตน์	วารสารการประชุมวิชาการ วิศวกรรมสาร มข.ปีที่ 39 ฉบับที่ 4 เดือนตุลาคมถึงธันวาคม 2555	 ธันวาคม 2555			1		['กระบวน', 'การ', 'ลำดับ', 'ขั้น', 'เชิง', 'วิเคราะห์', 'สำหรับ', 'การ', 'เลือก', 'ผัง', 'แบบ', 'เซลล์', 'และ', 'การ', 'จำลอง', 'สถานการณ์', 'ของ', 'โรง', 'งาน', 'บริการ', 'ผลิต', 'ผลิตภัณฑ์', 'อิเล็กทรอนิกส์']	2555.0
51	51	51	52	การแก้ปัญหาการจัดตารางสอบแบบมีเงื่อนไขด้วยแบบจำลองทางคณิตศาสตร์	ปวีณา  ศรีสวัสดิ์ และ วุฒิชัย  วงษ์ทัศนีย์กร	การประชุมวิชาการด้านการพัฒนาการดำเนินงานทางอุตสาหกรรมแห่งชาติ ครั้งที่ 3 (CIOD 2012)	 26 เมษายน 2555			1		['การ', 'แก้', 'ปัญหา', 'การ', 'จัดตา', 'ราง', 'สอบ', 'แบบ', 'มี', 'เงื่อนไข', 'ด้วย', 'แบบ', 'จำลอง', 'ทาง', 'คณิตศาสตร์']	2555.0
52	52	52	53	การแก้ปัญหาค่าอัตราผลิตผลฮาร์ดดิสก์ไดร์ฟภายใต้เงื่อนไขทางการเงินและคุณภาพ โดยวิธีการค้นหาแบบคัคคูและวิธีแบท	จุฑารัตน์  บุญแปลง และ วุฒิชัย  วงษ์ทัศนีย์กร	การประชุมวิชาการด้านการพัฒนาการดำเนินงานทางอุตสาหกรรมแห่งชาติ ครั้งที่ 3 (CIOD 2012)	 26 เมษายน 2555			1		['การ', 'แก้', 'ปัญหา', 'ค่า', 'อัตรา', 'ผลิตผล', 'ฮาร์ดดิสก์ไดร์ฟ', 'ภาย', 'ใต้', 'เงื่อนไข', 'ทาง', 'การ', 'เงิน', 'และ', 'คุณภาพ', ' ', 'โดย', 'วิธี', 'การ', 'ค้นหา', 'แบบ', 'คัคคู', 'และ', 'วิธี', 'แบท']	2555.0
