	Unnamed: 0	id	name	year	start_date	end_date	status	title	first_name	last_name	granter	tokenized_title
10	10	11	ประเมินผลโครงการศูนย์ต้อนรับผู้ร่วมสร้างสันติสุข 3 จังหวัดชายแดนภาคใต้	2550	6/25/2007	10/24/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	โกวิทย์	พวงงาม	กรมคุ้มครองสิทธิและเสรีภาพ	['ประเมิน', 'ผล', 'โครงการ', 'ศูนย์', 'ต้อนรับ', 'ผู้', 'ร่วม', 'สร้าง', 'สันติสุข', ' ', '3', ' ', 'จังหวัด', 'ชาย', 'แดน', 'ภาค', 'ใต้']
11	11	12	ติดตามประเมินผลโครงการประชาศึกษาและชุมชนสัมพันธ์	2550	9/14/2007	2/14/2008	ปิดโครงการ	รองศาสตราจารย์ ดร.	โกวิทย์	พวงงาม	สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ	['ติดตาม', 'ประเมิน', 'ผล', 'โครงการ', 'ประชาศึกษา', 'และ', 'ชุมชนสัมพันธ์']
12	12	13	ฝึกอบรมหลักสูตรการบริหารจัดการในสถานการณ์วิกฤติของกรุงเทพมหานคร	2550	5/3/2007	5/25/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	โคริน	เฟื่องเกษม	ศาลาว่าการกรุงเทพมหานคร	['ฝึกอบรม', 'หลักสูตร', 'การ', 'บริหารจัดการ', 'ใน', 'สถานการณ์', 'วิกฤติ', 'ของ', 'กรุงเทพมหานคร']
13	13	14	อบรมและศึกษาดูงานหลักสูตรการพัฒนาภาวะผู้นำที่จำเป็นในสถานการณ์บ้านเมืองในปัจจุบัน	2550	8/20/2007	8/22/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	โคริน	เฟื่องเกษม	องค์การบริหารส่วนจังหวัดนครราชสีมา	['อบรม', 'และ', 'ศึกษา', 'ดู', 'งาน', 'หลักสูตร', 'การ', 'พัฒนา', 'ภาวะ', 'ผู้', 'นำ', 'ที่', 'จำเป็น', 'ใน', 'สถานการณ์', 'บ้านเมือง', 'ใน', 'ปัจจุบัน']
14	14	15	จัดทำมาตรฐานคุณภาพสิ่งแวดล้อมธรรมชาติและสิ่งแวดล้อมศิลปกรรม: เมืองเก่า ภายใต้โครงการบริหารจัดการและฟื้นฟูสิ่งแวดล้อมธรรมชาติและศิลปกรรม	2550	3/3/2007	10/28/2007	ปิดโครงการ	รองศาสตราจารย์	โรจน์	คุณเอนก	สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม	['จัดทำ', 'มาตรฐาน', 'คุณภาพ', 'สิ่ง', 'แวดล้อม', 'ธรรมชาติ', 'และสิ่งแวดล้อม', 'ศิลปกรรม', ':', ' ', 'เมืองเก่า', ' ', 'ภาย', 'ใต้', 'โครงการ', 'บริหารจัดการ', 'และ', 'ฟื้นฟู', 'สิ่ง', 'แวดล้อม', 'ธรรมชาติ', 'และ', 'ศิลปกรรม']
15	15	16	พัฒนาผู้บริหารระดับกลาง หลักสูตร พัฒนานักบริหารระดับกลาง : Executive Micro MPA	2550	3/21/2007	4/12/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	กรมการจัดหางาน	['พัฒนา', 'ผู้', 'บริหาร', 'ระดับ', 'กลาง', ' ', 'หลักสูตร', ' ', 'พัฒนา', 'นัก', 'บริหาร', 'ระดับ', 'กลาง', ' ', ':', ' ', 'Executive', ' ', 'Micro', ' ', 'MPA']
16	16	17	ฝึกอบรมหลักสูตรนักบริหารระดับต้น รุ่นที่ 17	2550	7/5/2007	7/27/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	กรมสรรพสามิต	['ฝึกอบรม', 'หลักสูตร', 'นัก', 'บริหาร', 'ระดับ', 'ต้น', ' ', 'รุ่น', 'ที่', ' ', '17']
17	17	18	ฝึกอบรมหลักสูตรนักบริหารระดับต้น รุ่นที่ 15	2550	5/14/2007	6/6/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	กรมสรรพสามิต	['ฝึกอบรม', 'หลักสูตร', 'นัก', 'บริหาร', 'ระดับ', 'ต้น', ' ', 'รุ่น', 'ที่', ' ', '15']
18	18	19	ฝึกอบรมหลักสูตรนักบริหารระดับต้น รุ่นที่ 16	2550	6/11/2007	7/3/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	กรมสรรพสามิต	['ฝึกอบรม', 'หลักสูตร', 'นัก', 'บริหาร', 'ระดับ', 'ต้น', ' ', 'รุ่น', 'ที่', ' ', '16']
19	19	20	จัดทำหลักเกณฑ์และวิธีการประเมินผลการปฏิบัติงานและการประเมินค่างานเพื่อกำหนดโครงสร้างอัตราเงินเดือนพนักงานสายปฏิบัติการวิชาชีพและปฏิบัติการทั่วไป รวมถึงตำแหน่งทางวิชาการ	2550	7/9/2007	9/30/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	สถาบันพระปกเกล้า	['จัดทำ', 'หลักเกณฑ์', 'และ', 'วิธี', 'การ', 'ประเมิน', 'ผล', 'การ', 'ปฏิบัติ', 'งาน', 'และ', 'การ', 'ประเมิน', 'ค่า', 'งาน', 'เพื่อ', 'กำหนด', 'โครงสร้าง', 'อัตรา', 'เงิน', 'เดือน', 'พนักงาน', 'สายปฏิบัติการ', 'วิชาชีพ', 'และ', 'ปฏิบัติการ', 'ทั่วไป', ' ', 'รวม', 'ถึง', 'ตำแหน่ง', 'ทาง', 'วิชาการ']
20	20	21	ฝึกอบรมตามแผน Competency Base Traning Plan และแผนการพัฒนาผู้นำการเปลี่ยนแปลงสำนักเลขาธิการคณะรัฐมนตรี ประจำปี 2550	2550	7/11/2007	9/28/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	สำนักเลขาธิการคณะรัฐมนตรี	['ฝึกอบรม', 'ตาม', 'แผน', ' ', 'Competency', ' ', 'Base', ' ', 'Traning', ' ', 'Plan', ' ', 'และ', 'แผน', 'การ', 'พัฒนา', 'ผู้', 'นำ', 'การ', 'เปลี่ยนแปลง', 'สำนักเลขาธิการ', 'คณะ', 'รัฐมนตรี', ' ', 'ประจำ', 'ปี', ' ', '2550']
21	21	22	ฝึกอบรมหลักสูตรเสริมสร้างสมรรถนะคณะผู้บริหารการคลังประจำจังหวัด รุ่นที่ 1	2550	11/8/2006	11/17/2006	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	สำนักงานเศรษฐกิจการคลัง กระทรวงการคลัง	['ฝึกอบรม', 'หลักสูตร', 'เสริมสร้าง', 'สมรรถนะ', 'คณะ', 'ผู้', 'บริหาร', 'การ', 'คลัง', 'ประจำ', 'จังหวัด', ' ', 'รุ่น', 'ที่', ' ', '1']
22	22	23	ฝึกอบรมหลักสูตรเสริมสร้างสมรรถนะคณะผู้บริหารการคลังประจำจังหวัด รุ่นที่ 2	2550	11/8/2006	11/17/2006	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	สำนักงานเศรษฐกิจการคลัง กระทรวงการคลัง	['ฝึกอบรม', 'หลักสูตร', 'เสริมสร้าง', 'สมรรถนะ', 'คณะ', 'ผู้', 'บริหาร', 'การ', 'คลัง', 'ประจำ', 'จังหวัด', ' ', 'รุ่น', 'ที่', ' ', '2']
23	23	24	ฝึกอบรมหลักสูตรนักบริหารแรงงานระดับกลาง (นบก.) รุ่นที่ 9	2550	8/27/2007	9/21/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	สำนักงานปลัดกระทรวงแรงงาน	['ฝึกอบรม', 'หลักสูตร', 'นัก', 'บริหาร', 'แรงงาน', 'ระดับ', 'กลาง', ' ', '(', 'นบก.', ')', ' ', 'รุ่น', 'ที่', ' ', '9']
24	24	25	จัดทำหลักเกณฑ์และวิธีการประเมินผลการปฏิบัติงานพนักงานและการประเมินผลภาพรวมของแต่ละส่วนงาน	2550	12/1/2006	2/28/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	ไตรรัตน์	โภคพลากรณ์	สำนักพิมพ์คณะรัฐมนตรีและราชกิจจานุเบกษา	['จัดทำ', 'หลักเกณฑ์', 'และ', 'วิธี', 'การ', 'ประเมิน', 'ผล', 'การ', 'ปฏิบัติ', 'งาน', 'พนักงาน', 'และ', 'การ', 'ประเมิน', 'ผล', 'ภาพ', 'รวม', 'ของ', 'แต่ละ', 'ส่วน', 'งาน']
25	25	26	ศึกษาภาพอนาคตการพัฒนาและคุ้มครองพิทักษ์สิทธิผู้ด้อยโอกาส	2550	5/2/2007	2/26/2008	ปิดโครงการ	อาจารย์ ดร.	ไพรัช	บวรสมพงษ์	สำนักงานส่งเสริมสวัสดิภาพและพิทักษ์เด็ก เยาวชน ผู้ด้อยโอกาส คนพิการและผู้สูงอายุ	['ศึกษา', 'ภาพ', 'อนาคต', 'การ', 'พัฒนา', 'และ', 'คุ้มครอง', 'พิทักษ์', 'สิทธิ', 'ผู้', 'ด้อย', 'โอกาส']
26	26	27	ดำเนินกิจกรรมประเมินผลการดำเนินงานแผนชุมชน ตามโครงการแผนชุมชนพึ่งตนเอง	2550	9/25/2007	3/25/2008	ปิดโครงการ	ผู้ช่วยศาสตราจารย์	กมลทิพย์	แจ่มกระจ่าง	สำนักพัฒนาสังคม กรุงเทพมหานคร	['ดำเนิน', 'กิจกรรม', 'ประเมิน', 'ผล', 'การ', 'ดำเนิน', 'งาน', 'แผน', 'ชุมชน', ' ', 'ตาม', 'โครงการ', 'แผน', 'ชุมชน', 'พึ่งตน', 'เอง']
27	27	28	สำรวจค่าใช้จ่ายและบุคลากรทางการวิจัยและพัฒนาของภาคอุดมศึกษาปี 2550	2550	6/5/2007	1/5/2008	ปิดโครงการ	อาจารย์ ดร.	กวีพงษ์ 	เลิศวัชรา	สำนักงานคณะกรรมการวิจัยแห่งชาติ(วช.)	['สำรวจ', 'ค่า', 'ใช้จ่าย', 'และ', 'บุคลากร', 'ทาง', 'การ', 'วิจัย', 'และพัฒนา', 'ของ', 'ภาค', 'อุดมศึกษา', 'ปี', ' ', '2550']
28	28	29	สำรวจความพึงพอใจของผู้มีส่วนได้เสีย จากการบริหารงานกองทุนสิ่งแวดล้อม ตามระบบการประเมินผลทุนหมุนเวียน ปี 2550	2550	1/17/2007	10/13/2007	ปิดโครงการ	อาจารย์ ดร.	กวีพงษ์ 	เลิศวัชรา	สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม	['สำรวจ', 'ความ', 'พึงพอใจ', 'ของ', 'ผู้', 'มี', 'ส่วน', 'ได้', 'เสีย', ' ', 'จาก', 'การ', 'บริหาร', 'งาน', 'กองทุนสิ่งแวดล้อม', ' ', 'ตาม', 'ระบบ', 'การ', 'ประเมิน', 'ผล', 'ทุน', 'หมุนเวียน', ' ', 'ปี', ' ', '2550']
29	29	30	ประเมินผลสัมฤทธ์การส่งเสริมและพัฒนาอุตสาหกรรมไทยและวิสาหกิจชุมชนให้ได้มาตรฐาน ปีงบประมาณ 2550	2550	4/2/2007	6/30/2008	ปิดโครงการ	อาจารย์ ดร.	กวีพงษ์ 	เลิศวัชรา	สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม	['ประเมิน', 'ผล', 'สัมฤทธ์', 'การ', 'ส่งเสริม', 'และพัฒนา', 'อุตสาหกรรม', 'ไทย', 'และ', 'วิสาหกิจ', 'ชุมชน', 'ให้', 'ได้', 'มาตรฐาน', ' ', 'ปี', 'งบ', 'ประมาณ', ' ', '2550']
30	30	31	ศึกษาวิจัยการนำมาตรฐานไปใช้ของผู้ประกอบการและผู้บริโภค	2550	1/9/2007	5/8/2007	ปิดโครงการ	อาจารย์ ดร.	กวีพงษ์ 	เลิศวัชรา	สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม	['ศึกษา', 'วิจัย', 'การ', 'นำ', 'มาตรฐาน', 'ไป', 'ใช้', 'ของ', 'ผู้', 'ประกอบ', 'การ', 'และ', 'ผู้', 'บริโภค']
31	31	32	ศึกษาแนวทางเพื่อส่งเสริมภาพลักษณ์สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม	2550	9/20/2007	3/17/2008	ปิดโครงการ	อาจารย์ ดร.	กวีพงษ์ 	เลิศวัชรา	สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม	['ศึกษา', 'แนวทาง', 'เพื่อ', 'ส่งเสริม', 'ภาพลักษณ์', 'สำนักงานมาตรฐาน', 'ผลิตภัณฑ์', 'อุตสาหกรรม']
32	32	33	ตรวจหาและวิเคราะห์เชื้อโคลิฟอร์มแบคทีเรียโดยใช้น้ำยา (IS-2)	2550	3/1/2007	3/30/2007	ปิดโครงการ	ผู้ช่วยศาสตราจารย์	กำพล	นันทพงษ์	กองงานศูนย์รังสิต	['ตรวจ', 'หา', 'และ', 'วิเคราะห์', 'เชื้อ', 'โคลิฟอร์ม', 'แบคทีเรีย', 'โดย', 'ใช้', 'น้ำยา', ' ', '(', 'I', 'S', '-', '2', ')']
33	33	34	ตรวจวิเคราะห์น้ำ	2550	2/20/2007	3/14/2007	ปิดโครงการ	ผู้ช่วยศาสตราจารย์	กำพล	นันทพงษ์	คณะวิศวกรรมศาสตร์ มหาวิทยาลัยธรรมศาสตร ศูนย์รังสิต	['ตรวจ', 'วิเคราะห์', 'น้ำ']
34	34	35	แนวทางพัฒนาการบริหารงานยุติธรรมทางแพ่งและพาณิชย์ให้คุ้มค่า	2550	9/21/2007	9/21/2008	ปิดโครงการ	ผู้ช่วยศาสตราจารย์ ดร.	กิตติศักดิ์	ปรกติ	สำนักงานกิจการยุติธรรม	['แนวทาง', 'พัฒนา', 'การ', 'บริหาร', 'งาน', 'ยุติธรรม', 'ทาง', 'แพ่ง', 'และ', 'พาณิชย์', 'ให้', 'คุ้ม', 'ค่า']
35	35	36	การพัฒนาการจัดการโลจิสติกส์และโซ่อุปทาน สำหรับอุตสาหกรรมปิโตรเคมีขั้นปลาย	2550	9/21/2007	3/20/2009	ปิดโครงการ	รองศาสตราจารย์ ดร.	จิรรัตน์	ธีระวราพฤกษ์	สำนักงานคณะกรรมการการอุดมศึกษา	['การ', 'พัฒนา', 'การ', 'จัดการ', 'โลจิสติกส์', 'และ', 'โซ่อุปทาน', ' ', 'สำหรับ', 'อุตสาหกรรม', 'ปิโตรเคมี', 'ขั้น', 'ปลาย']
36	36	37	พัฒนากรอบแนวทางมาตรฐานการแลกเปลี่ยนข้อมูลแห่งชาติ (Thailand e-Government Interoperability Framework)	2550	6/29/2007	2/23/2008	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักงานปลัดกระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร	['พัฒนา', 'กรอบ', 'แนวทาง', 'มาตรฐาน', 'การ', 'แลกเปลี่ยน', 'ข้อมูล', 'แห่ง', 'ชาติ', ' ', '(', 'Thailand', ' ', 'e', '-', 'Government', ' ', 'Interoperability', ' ', 'Framework', ')']
37	37	38	พัฒนาระบบสนับสนุนการแลกเปลี่ยนข้อมูลระหว่างระบบสารบรรณอิเล็กทรอนิกส์ของหน่วยงานภาครัฐโดยใช้มาตรฐานข้อมูลสารบรรณอิเล็กทรอนิกส์ที่พัฒนาขึ้นตามแนวทาง TH e-GIF ระยะที่ 1	2550	6/29/2007	2/22/2008	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักงานปลัดกระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร	['พัฒนา', 'ระบบ', 'สนับสนุน', 'การ', 'แลกเปลี่ยน', 'ข้อมูล', 'ระหว่าง', 'ระบบ', 'สาร', 'บรรณ', 'อิเล็กทรอนิกส์', 'ของ', 'หน่วย', 'งาน', 'ภาค', 'รัฐ', 'โดย', 'ใช้', 'มาตรฐาน', 'ข้อมูล', 'สาร', 'บรรณ', 'อิเล็กทรอนิกส์', 'ที่', 'พัฒนา', 'ขึ้น', 'ตาม', 'แนวทาง', ' ', 'TH', ' ', 'e-GIF', ' ', 'ระยะ', 'ที่', ' ', '1']
38	38	39	ปรึกษาควบคุมโครงการพัฒนาระบบเทคโนโลยีสารสนเทศศูนย์ปฏิบัติการแรงงานจังหวัด จำนวน 30 จังหวัด (ต่อเนื่องจากปีงบประมาณ 2549 จำนวo 15 จังหวัด และปีงบประมาณ 2550 จำนวน 15 จังหวัด)	2550	4/30/2007	12/29/2007	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักงานปลัดกระทรวงแรงงาน	['ปรึกษา', 'ควบคุม', 'โครงการ', 'พัฒนา', 'ระบบ', 'เทคโนโลยี', 'สารสนเทศศูนย์', 'ปฏิบัติการ', 'แรงงาน', 'จังหวัด', ' ', 'จำนวน', ' ', '30', ' ', 'จังหวัด', ' ', '(', 'ต่อเนื่อง', 'จาก', 'ปี', 'งบ', 'ประมาณ', ' ', '2549', ' ', 'จำนวo', ' ', '15', ' ', 'จังหวัด', ' ', 'และ', 'ปี', 'งบ', 'ประมาณ', ' ', '2550', ' ', 'จำนวน', ' ', '15', ' ', 'จังหวัด', ')']
39	39	40	ศึกษาความพร้อมของระบบเครือข่ายในการรองรับการรับ-ส่งข้อมูลของ PLOC SERVER 75 จังหวัด	2550	7/27/2007	9/26/2007	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักงานปลัดกระทรวงแรงงาน	['ศึกษา', 'ความ', 'พร้อม', 'ของ', 'ระบบ', 'เครือข่าย', 'ใน', 'การ', 'รองรับ', 'การ', 'รับ', '-', 'ส่ง', 'ข้อมูล', 'ของ', ' ', 'PLOC', ' ', 'SERVER ', '75', ' ', 'จังหวัด']
40	40	41	ศึกษาวิจัยเรื่องจัดทำฐานข้อมูลแรงงานนอกระบบ	2550	6/21/2007	12/20/2007	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักงานปลัดกระทรวงแรงงาน	['ศึกษา', 'วิจัย', 'เรื่อง', 'จัดทำ', 'ฐาน', 'ข้อมูล', 'แรงงาน', 'นอก', 'ระบบ']
41	41	42	พัฒนาระบบมาตรฐานข้อมูลเพื่อบูรณาการระบบสารสนเทศทางการศึกษา	2550	6/18/2007	12/13/2007	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักงานปลัดกระทรวงศึกษาธิการ	['พัฒนา', 'ระบบ', 'มาตรฐาน', 'ข้อมูล', 'เพื่อ', 'บูรณาการ', 'ระบบ', 'สารสนเทศ', 'ทาง', 'การ', 'ศึกษา']
42	42	43	พัฒนาระบบงานธนาคาร ความรู้ในรูปแบบ ICT (ICT Knowledge Bank)	2550	6/12/2007	12/8/2007	ปิดโครงการ	อาจารย์ ดร.	ชุมพล	บุญมี	สำนักบริหารงานการศึกษานอกโรงเรียน	['พัฒนา', 'ระบบ', 'งาน', 'ธนาคาร', ' ', 'ความ', 'รู้', 'ใน', 'รูปแบบ', ' ', 'ICT', ' ', '(', 'ICT', ' ', 'Knowledge', ' ', 'Bank', ')']
43	43	44	ศึกษาและพัฒนาเกี่ยวกับการให้ความช่วยเหลือทางกฎหมายแก่ประชาชน (ต่อเนื่อง)	2550	4/12/2007	10/12/2007	ปิดโครงการ	รองศาสตราจารย์	ณรงค์	ใจหาญ	กรมคุ้มครองสิทธิและเสรีภาพ	['ศึกษา', 'และ', 'พัฒนา', 'เกี่ยว', 'กับ', 'การ', 'ให้', 'ความ', 'ช่วยเหลือ', 'ทาง', 'กฎหมาย', 'แก่', 'ประชาชน', ' ', '(', 'ต่อเนื่อง', ')']
44	44	45	ศึกษาเพื่อพัฒนามาตรการพิเศษในการคุ้มครองพยานตามพ.ร.บ. คุ้มครองพยานในคดีอาญา พ.ศ.2546 มาตรา 10(3) ปี 2550	2550	9/18/2007	5/17/2008	ปิดโครงการ	รองศาสตราจารย์	ณรงค์	ใจหาญ	กรมคุ้มครองสิทธิและเสรีภาพ	['ศึกษา', 'เพื่อ', 'พัฒนา', 'มาตรการ', 'พิเศษ', 'ใน', 'การ', 'คุ้มครอง', 'พยาน', 'ตาม', 'พ.ร.บ.', ' ', 'คุ้มครอง', 'พยาน', 'ใน', 'คดี', 'อาญา', ' ', 'พ.ศ.', '2546', ' ', 'มาตรา', ' ', '10', '(', '3', ')', ' ', 'ปี', ' ', '2550']
45	45	46	ศึกษาปรับปรุงเงื่อนไขสัญญาสัมปทานประกอบกิจการประปาตามประกาศของคณะปฏิวัติ ฉบับที่ 58 ลงวันที่ 26 มกราคม 2515 ในส่วนที่เกียวกับการประกอบกิจการประปา	2550	9/28/2007	12/28/2007	ปิดโครงการ	รองศาสตราจารย์	ณรงค์	ใจหาญ	กรมทรัพยากรน้ำ	['ศึกษา', 'ปรับปรุง', 'เงื่อนไข', 'สัญญา', 'สัมปทาน', 'ประกอบ', 'กิจการ', 'ประปา', 'ตาม', 'ประกาศ', 'ของ', 'คณะ', 'ปฏิวัติ', ' ', 'ฉบับ', 'ที่', ' ', '58', ' ', 'ลง', 'วัน', 'ที่', ' ', '26', ' ', 'มกราคม', ' ', '2515', ' ', 'ใน', 'ส่วน', 'ที่', 'เกียว', 'กับ', 'การ', 'ประกอบ', 'กิจการ', 'ประปา']
